Player Count,LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE
2,P. Tucker - T. Harris,PHI,59,1335,118.2,113.7,4.5,62.2,2.03,19,24.9,74.2,50.2,0.1,56.7,61.2,96.33,52.6
2,P. Tucker - D. Melton,PHI,59,1060,116.4,115.1,1.3,62.5,1.9,18.7,23.3,72.7,48.5,0.1,56.8,61.4,97.04,50.9
2,G. Niang - S. Milton,PHI,59,748,112.5,107.5,5.1,59.3,1.8,17.8,23.7,68.8,46.9,0.1,55.9,60.2,103.28,52.1
2,T. Harris - D. Melton,PHI,58,1301,115.9,112.4,3.5,62.6,1.83,18.6,26.3,72.6,49.9,0.1,55.6,60.3,97.64,52.3
3,P. Tucker - T. Harris - D. Melton,PHI,55,881,117.3,114.5,2.8,62.6,1.92,18.8,24.4,72.8,49.1,0.1,56.9,61.5,96.51,51.9
2,T. Harris - G. Niang,PHI,53,351,110.7,106.8,4,62.8,1.66,18.5,26.4,69.4,48.5,0.2,55.7,59.4,100.56,52.3
2,G. Niang - D. Melton,PHI,52,430,109.8,107.3,2.6,63.8,1.63,18.1,24,70.4,47.9,0.1,54.8,59.5,102.36,52.2
2,J. Embiid - D. Melton,PHI,51,1199,116.2,111.7,4.5,65.9,1.84,19,23.4,71.2,48.6,0.1,56.4,62.1,98.47,53.6
2,P. Tucker - J. Embiid,PHI,51,1173,116.7,110,6.7,64.4,1.97,19.3,22.1,73.7,49.7,0.1,57,62.1,97.25,54.5
2,J. Embiid - G. Niang,PHI,51,509,115.9,105.2,10.7,66.6,1.89,19.3,24.6,72,49.3,0.1,57.3,62.2,99.72,56.1
2,T. Harris - J. Embiid,PHI,48,1339,118.2,109.8,8.5,65.4,1.98,19.6,24.4,73.2,50.4,0.1,57,62.2,97.6,55.6
2,J. Embiid - S. Milton,PHI,48,495,114.5,108.7,5.8,65.4,2.04,19.3,20.2,71.4,47.1,0.1,56.7,62,102.89,54.4
3,P. Tucker - T. Harris - J. Embiid,PHI,47,974,118.6,111.1,7.5,64.6,2.01,19.6,22.7,73.4,50,0.1,57.6,62.8,96.84,55.2
3,P. Tucker - J. Embiid - D. Melton,PHI,47,752,115.3,111.6,3.7,65.8,1.85,19.1,20.7,71.3,47.7,0.1,57.1,62.5,97.59,53.2
2,P. Tucker - J. Harden,PHI,47,1137,119.3,115.3,4,64.8,2.12,19.6,22.7,73.2,48.9,0.1,57.7,62.4,96.08,52.8
