Player Count,LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE
5,P. Tucker - J. Harden - T. Harris - J. Embiid - D. Melton,PHI,34,498,120.2,112.6,7.6,69.2,1.98,20.4,21.3,70.7,48.4,0.1,59.4,65.2,96.62,56.4
5,P. Tucker - J. Harden - T. Harris - J. Embiid - T. Maxey,PHI,24,246,120.4,110.6,9.8,64.4,2.67,20.1,25.7,81,54.2,0.1,57.1,61.4,96.1,55.4
5,J. Harden - T. Harris - J. Embiid - D. Melton - T. Maxey,PHI,22,99,113.1,109.3,3.7,70.1,1.86,18.6,26.4,74.7,52.2,0.1,53.4,62.2,103.4,55
5,M. Harrell - G. Niang - S. Milton - M. Thybulle - T. Maxey,PHI,15,97,112.6,109,3.6,51.7,2.65,16.2,29.9,66.3,47.9,0.1,55,58.4,100.97,53.7
5,J. Harden - T. Harris - J. Embiid - G. Niang - T. Maxey,PHI,14,48,107.1,97.9,9.2,70.7,1.93,21.3,22,74.5,50,0.2,59.8,61.1,97.58,54.9
5,J. Harden - T. Harris - J. Embiid - G. Niang - D. Melton,PHI,12,50,123,98,25,64.6,2.21,20.3,41.5,73.2,57.8,0.1,57.9,59.1,95.64,61.7
5,J. Embiid - G. Niang - S. Milton - M. Thybulle - T. Maxey,PHI,11,33,136.8,74,62.9,64.7,2.44,20.4,33.3,80.6,59.1,0.1,66.1,71.7,108.82,82.3
5,J. Harden - J. Embiid - G. Niang - D. Melton - T. Maxey,PHI,10,16,125,102.7,22.3,33.3,0.8,9.3,25,78.6,53.8,0.1,60.4,70.5,109.5,58.4
5,J. Harden - M. Harrell - G. Niang - S. Milton - M. Thybulle,PHI,10,16,122.6,127.8,-5.2,53.3,2.67,19.5,16.7,69.2,44,0.1,63,66.1,101.5,40.8
5,G. Niang - F. Korkmaz - D. House Jr. - S. Milton - P. Reed,PHI,9,37,110.1,100,10.1,59.4,1.36,17.3,38.2,65,52.7,0.2,57,60.1,103.16,56.2
5,J. Harden - T. Harris - M. Harrell - D. Melton - T. Maxey,PHI,8,30,95.2,111.3,-16.1,45.5,1.43,12,29.4,67.9,46.8,0.1,44.5,48.4,99.72,39
5,J. Embiid - G. Niang - D. House Jr. - D. Melton - S. Milton,PHI,8,29,112.9,111.7,1.2,59.1,2.17,16.3,19.2,75,48.1,0.1,49,59.8,99.97,56.5
5,P. Tucker - J. Harden - T. Harris - J. Embiid - S. Milton,PHI,8,29,132.3,145.2,-12.9,62.1,3,20.2,34.6,60,45.7,0.1,59.1,64.7,102.05,45.7
5,P. Tucker - J. Embiid - G. Niang - S. Milton - T. Maxey,PHI,8,14,89.7,117.2,-27.6,60,2,15.8,21.4,80,51.7,0.1,50,50.5,101.99,33.1
5,P. Tucker - J. Harden - T. Harris - D. Melton - T. Maxey,PHI,7,95,121.9,111.7,10.2,60.9,2.65,20.4,22.7,76.7,50,0.1,60.3,62.1,95.05,53.6
5,J. Embiid - G. Niang - S. Milton - J. McDaniels - T. Maxey,PHI,7,30,130.8,124.6,6.2,58.6,3.4,19.3,24,65.4,45.1,0.1,62.5,67,105.09,51.9
5,J. Harden - T. Harris - D. Melton - T. Maxey - P. Reed,PHI,7,21,111.6,97.7,13.9,75,4,19,32,85,55.6,0.1,47.6,53.4,98.56,57.4
5,J. Harden - M. Harrell - G. Niang - M. Thybulle - T. Maxey,PHI,7,9,131.6,85.7,45.9,75,2,22.2,25,66.7,47.1,0.2,73.1,73.7,101.95,69.6
5,P. Tucker - T. Harris - J. Embiid - D. Melton - S. Milton,PHI,6,58,96.7,126.1,-29.4,54.8,1.44,14.8,19.4,65.4,40.4,0.1,47.1,51.5,98.55,32.9
5,P. Tucker - J. Harden - J. Embiid - D. Melton - T. Maxey,PHI,6,33,119.1,128.2,-9.1,67.9,4.75,20.4,18.2,66.7,43.5,0.1,56.6,60.7,99.69,44.8
5,T. Harris - M. Harrell - G. Niang - S. Milton - T. Maxey,PHI,6,20,111.4,104.5,6.8,58.8,2,17.5,20,66.7,47.2,0.1,59.4,65,103.91,56.9
