Rk,Player,Pos,Tm,ORtg,DRtg,Player-additional,Team
1,Precious Achiuwa,C,TOR,112,113,achiupr01,TOR
2,Steven Adams,C,MEM,118,108,adamsst01,MEM
3,Bam Adebayo,C,MIA,115,111,adebaba01,MIA
4,Ochai Agbaji,SG,UTA,115,121,agbajoc01,UTA
5,Santi Aldama,PF,MEM,120,111,aldamsa01,MEM
6,Nickeil Alexander-Walker,SG,TOT,109,116,alexani01,0
6,Nickeil Alexander-Walker,SG,UTA,111,116,alexani01,UTA
6,Nickeil Alexander-Walker,SG,MIN,106,116,alexani01,MIN
7,Grayson Allen,SG,MIL,123,114,allengr01,MIL
8,Jarrett Allen,C,CLE,132,108,allenja01,CLE
9,Jose Alvarado,PG,NOP,107,113,alvarjo01,NOP
10,Kyle Anderson,PF,MIN,120,112,anderky01,MIN
11,Giannis Antetokounmpo,PF,MIL,117,108,antetgi01,MIL
12,Thanasis Antetokounmpo,SF,MIL,98,114,antetth01,MIL
13,Cole Anthony,PG,ORL,117,115,anthoco01,ORL
14,OG Anunoby,SF,TOR,113,113,anunoog01,TOR
15,Ryan Arcidiacono,PG,TOT,86,121,arcidry01,0
15,Ryan Arcidiacono,PG,NYK,72,110,arcidry01,NYK
15,Ryan Arcidiacono,PG,POR,88,122,arcidry01,POR
16,Deni Avdija,SF,WAS,106,114,avdijde01,WAS
17,Deandre Ayton,C,PHO,119,111,aytonde01,PHX
18,Udoka Azubuike,C,UTA,131,114,azubuud01,UTA
19,Marvin Bagley III,C,DET,117,118,baglema01,DET
20,Patrick Baldwin Jr.,SF,GSW,101,114,baldwpa01,GSW
21,LaMelo Ball,PG,CHO,108,115,ballla01,CHA
22,Mo Bamba,C,TOT,121,111,bambamo01,0
22,Mo Bamba,C,ORL,125,112,bambamo01,ORL
22,Mo Bamba,C,LAL,100,108,bambamo01,LAL
23,Paolo Banchero,PF,ORL,105,114,banchpa01,ORL
24,Desmond Bane,SG,MEM,119,113,banede01,MEM
25,Dalano Banton,PG,TOR,105,112,bantoda01,TOR
26,Dominick Barlow,SF,SAS,121,119,barlodo01,SAS
27,Harrison Barnes,PF,SAC,126,119,barneha02,SAC
28,Scottie Barnes,PF,TOR,113,115,barnesc01,TOR
29,RJ Barrett,SG,NYK,107,118,barrerj01,NYK
30,Will Barton,SG,TOT,102,117,bartowi01,0
30,Will Barton,SG,WAS,101,117,bartowi01,WAS
30,Will Barton,SG,TOR,105,114,bartowi01,TOR
31,Charles Bassey,C,SAS,120,114,bassech01,SAS
32,Keita Bates-Diop,SF,SAS,121,120,bateske01,SAS
33,Nicolas Batum,PF,LAC,120,114,batumni01,LAC
34,Darius Bazley,PF,TOT,107,111,bazleda01,0
34,Darius Bazley,PF,OKC,108,111,bazleda01,OKC
34,Darius Bazley,PF,PHO,101,106,bazleda01,PHX
35,Bradley Beal,SG,WAS,114,117,bealbr01,WAS
36,Malik Beasley,SG,TOT,105,117,beaslma01,0
36,Malik Beasley,SG,UTA,107,118,beaslma01,UTA
36,Malik Beasley,SG,LAL,99,115,beaslma01,LAL
37,MarJon Beauchamp,SF,MIL,99,113,beaucma01,MIL
38,Dāvis Bertāns,PF,DAL,120,118,bertada01,DAL
39,Patrick Beverley,PG,TOT,113,113,beverpa01,0
39,Patrick Beverley,PG,LAL,112,115,beverpa01,LAL
39,Patrick Beverley,PG,CHI,114,111,beverpa01,CHI
40,Saddiq Bey,SF,TOT,117,119,beysa01,0
40,Saddiq Bey,SF,DET,115,119,beysa01,DET
