Team,PG,SG,SF,PF,C,Poss,Diff Rank,Diff,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
League Averages,,,,,,,,,,114.9,,54.7%,,14.2%,,26.8%,,21.0,,114.9,,54.7%,,14.2%,,26.8%,,21.0
SAC,De'Aaron Fox,Kevin Huerter,Harrison Barnes,Keegan Murray,Domantas Sabonis,1669,51,+3.6,60,119.1,59,56.7%,67,12.3%,42,25.1%,59,20.7,40,115.5,24,58.4%,52,13.6%,68,22.8%,80,14.9
ATL,Trae Young,Dejounte Murray,DeAndre Hunter,John Collins,Clint Capela,1413,67,+8.6,56,118.0,39,54.3%,80,11.3%,66,29.2%,38,17.3,69,109.4,55,53.9%,54,13.8%,52,25.3%,68,16.2
DEN,Jamal Murray,Kentavious Caldwell-Pope,Michael Porter,Aaron Gordon,Nikola Jokic,1324,76,+12.0,81,124.7,87,61.4%,51,13.1%,54,27.1%,32,16.7,55,112.7,45,55.4%,51,13.6%,57,24.6%,70,16.0
CHI,Ayo Dosunmu,Zach LaVine,DeMar DeRozan,Patrick Williams,Nikola Vucevic,1230,45,+1.2,32,111.3,64,57.4%,46,13.6%,7,15.7%,29,16.5,67,110.1,57,53.7%,22,11.1%,85,20.5%,66,16.5
POR,Damian Lillard,Anfernee Simons,Josh Hart,Jerami Grant,Jusuf Nurkic,1105,44,+0.9,50,116.4,69,57.7%,20,15.7%,24,22.5%,75,23.0,41,115.4,41,55.9%,28,11.7%,50,25.7%,50,18.7
NYK,Jalen Brunson,Quentin Grimes,RJ Barrett,Julius Randle,Mitchell Robinson,1017,64,+7.8,83,125.3,74,58.8%,75,11.7%,73,30.2%,61,20.8,32,117.4,30,57.2%,35,12.1%,82,20.9%,51,18.6
PHI,James Harden,De'Anthony Melton,Tobias Harris,PJ Tucker,Joel Embiid,991,61,+6.7,70,121.3,77,59.6%,35,14.2%,19,20.3%,98,33.9,44,114.5,50,54.9%,71,15.2%,26,29.2%,73,15.6
ORL,Markelle Fultz,Gary Harris,Franz Wagner,Paolo Banchero,Wendell Carter,949,52,+4.0,47,115.7,58,56.7%,31,14.6%,36,24.2%,63,21.0,61,111.7,38,56.6%,69,15.1%,75,21.8%,67,16.4
HOU,Kevin Porter,Jalen Green,Eric Gordon,Jabari Smith Jr.,Alperen Sengun,876,18,-10.3,22,108.1,23,51.7%,17,16.0%,66,29.2%,43,18.3,28,118.4,38,56.6%,46,13.1%,45,26.1%,29,21.8
IND,Andrew Nembhard,Tyrese Haliburton,Buddy Hield,Aaron Nesmith,Myles Turner,831,50,+3.4,62,119.7,80,59.8%,59,12.5%,11,18.3%,17,14.6,37,116.3,59,53.6%,67,14.9%,14,32.4%,18,23.9
BOS,Marcus Smart,Derrick White,Jaylen Brown,Jayson Tatum,Al Horford,788,78,+12.7,76,123.0,85,60.9%,80,11.3%,10,17.4%,56,20.4,66,110.3,73,51.8%,38,12.4%,35,27.5%,62,17.0
TOR,Fred VanVleet,Gary Trent Jr.,OG Anunoby,Scottie Barnes,Pascal Siakam,767,46,+1.9,49,116.3,27,52.6%,91,9.9%,38,24.5%,47,18.7,45,114.4,26,58.0%,84,16.4%,53,25.2%,26,22.2
CLE,Darius Garland,Donovan Mitchell,Isaac Okoro,Evan Mobley,Jarrett Allen,720,58,+5.7,70,121.1,86,61.2%,37,14.0%,42,25.1%,24,15.8,41,115.4,22,58.6%,63,14.5%,77,21.6%,62,17.0
GSW,Stephen Curry,Klay Thompson,Andrew Wiggins,Draymond Green,Kevon Looney,705,94,+22.1,88,128.5,95,65.2%,56,12.8%,40,24.8%,20,15.0,79,106.4,74,51.7%,48,13.3%,58,24.6%,51,18.5
DEN,Jamal Murray,Kentavious Caldwell-Pope,Bruce Brown,Aaron Gordon,Nikola Jokic,670,72,+10.6,73,122.1,81,60.1%,53,13.0%,54,27.0%,69,21.8,62,111.4,38,56.5%,73,15.3%,60,24.2%,70,15.9
UTA,Mike Conley,Jordan Clarkson,Lauri Markkanen,Jarred Vanderbilt,Kelly Olynyk,629,40,-0.7,38,112.7,40,54.6%,16,16.1%,75,30.5%,25,15.8,50,113.4,52,54.6%,50,13.5%,37,27.4%,65,16.6
MIA,Kyle Lowry,Tyler Herro,Caleb Martin,Jimmy Butler,Bam Adebayo,604,57,+5.7,37,112.6,34,53.8%,54,12.9%,43,25.1%,59,20.8,77,106.9,48,55.1%,88,17.4%,58,24.5%,76,15.2
PHI,James Harden,Tyrese Maxey,Tobias Harris,PJ Tucker,Joel Embiid,600,86,+15.4,80,124.2,70,58.2%,72,12.0%,49,26.2%,82,25.4,72,108.8,50,55.0%,38,12.4%,93,18.4%,80,14.8
ATL,Trae Young,Dejounte Murray,DeAndre Hunter,John Collins,Onyeka Okongwu,556,57,+5.6,48,116.0,53,55.8%,43,13.7%,22,22.2%,73,22.6,66,110.4,68,52.4%,71,15.2%,28,28.8%,25,22.3
POR,Damian Lillard,Anfernee Simons,Josh Hart,Jerami Grant,Drew Eubanks,551,38,-0.9,58,118.5,48,55.3%,90,10.0%,30,23.4%,79,24.0,27,119.4,34,56.9%,44,13.0%,56,24.8%,38,20.5
MIN,D'Angelo Russell,Anthony Edwards,Jaden McDaniels,Karl-Anthony Towns,Rudy Gobert,541,55,+5.4,27,109.8,52,55.7%,4,19.0%,64,29.0%,39,17.4,86,104.4,90,48.7%,36,12.2%,35,27.5%,88,13.3
HOU,Kevin Porter,Jalen Green,Kenyon Martin Jr.,Jabari Smith Jr.,Alperen Sengun,520,19,-9.9,29,110.6,24,52.0%,31,14.6%,79,31.6%,27,16.3,22,120.5,32,57.1%,11,9.8%,73,22.2%,43,19.7
MIN,D'Angelo Russell,Anthony Edwards,Jaden McDaniels,Kyle Anderson,Rudy Gobert,518,81,+14.1,50,116.4,77,59.6%,25,15.1%,14,19.4%,55,20.3,90,102.3,82,50.2%,75,15.5%,32,27.8%,64,16.6
DET,Killian Hayes,Jaden Ivey,Bojan Bogdanovic,Isaiah Stewart,Jalen Duren,507,11,-15.4,25,109.3,22,51.3%,11,17.2%,75,30.7%,61,20.9,14,124.7,29,57.5%,18,10.8%,36,27.4%,34,21.0
BKN,Ben Simmons,Kyrie Irving,Royce O'Neale,Kevin Durant,Nicolas Claxton,506,49,+3.1,46,115.4,86,61.0%,57,12.6%,20,21.1%,4,10.9,57,112.3,81,50.4%,47,13.3%,14,32.5%,59,17.5
PHX,Cameron Payne,Devin Booker,Mikal Bridges,Torrey Craig,Deandre Ayton,491,41,-0.4,47,115.7,35,53.9%,58,12.6%,55,27.2%,21,15.1,39,116.1,46,55.4%,68,15.1%,21,30.2%,29,21.8
MIL,Jrue Holiday,Grayson Allen,Pat Connaughton,Giannis Antetokounmpo,Brook Lopez,485,48,+2.8,45,115.1,64,57.4%,53,13.0%,48,26.2%,15,14.3,59,112.2,41,55.9%,9,9.1%,94,17.2%,95,11.6
DET,Jaden Ivey,Cade Cunningham,Saddiq Bey,Bojan Bogdanovic,Isaiah Stewart,458,25,-6.3,44,114.6,25,52.0%,38,14.0%,65,29.1%,88,27.2,20,120.9,34,57.0%,29,11.8%,44,26.2%,61,17.2
SAC,Davion Mitchell,Kevin Huerter,Harrison Barnes,Keegan Murray,Domantas Sabonis,453,47,+2.6,72,122.1,93,63.4%,59,12.6%,12,18.6%,30,16.5,27,119.5,28,57.8%,41,12.7%,81,21.1%,50,18.8
CHA,LaMelo Ball,Terry Rozier,Gordon Hayward,PJ Washington,Mason Plumlee,434,35,-1.8,34,111.8,35,53.9%,49,13.4%,32,23.8%,18,14.6,50,113.5,36,56.8%,50,13.5%,71,22.3%,55,18.1
NYK,Jalen Brunson,Quentin Grimes,RJ Barrett,Julius Randle,Jericho Sims,433,17,-10.4,57,118.0,34,53.8%,93,9.5%,43,25.2%,33,16.7,9,128.4,21,58.9%,5,8.4%,67,23.3%,24,22.6
PHX,Chris Paul,Devin Booker,Josh Okogie,Torrey Craig,Deandre Ayton,416,73,+11.3,66,120.2,60,56.8%,84,10.8%,38,24.4%,43,18.1,71,108.9,55,54.0%,77,15.6%,41,26.8%,63,16.8
CHA,LaMelo Ball,Terry Rozier,Jalen McDaniels,PJ Washington,Mason Plumlee,413,30,-3.5,68,120.8,43,54.8%,86,10.7%,52,26.6%,57,20.6,14,124.3,12,61.0%,38,12.4%,40,26.8%,39,20.1
ORL,Markelle Fultz,Franz Wagner,Paolo Banchero,Bol Bol,Moritz Wagner,411,29,-4.8,19,107.8,23,51.6%,6,18.2%,79,31.8%,80,24.4,55,112.6,40,56.0%,76,15.5%,49,25.7%,73,15.6
CHI,Alex Caruso,Zach LaVine,DeMar DeRozan,Patrick Williams,Nikola Vucevic,405,65,+8.0,59,118.8,71,58.2%,84,10.9%,7,15.7%,89,27.4,64,110.8,48,55.2%,90,17.7%,57,24.7%,6,28.5
OKC,Shai Gilgeous-Alexander,Jalen Williams,Luguentz Dort,Josh Giddey,Jaylin Williams,403,28,-5.2,23,108.4,42,54.6%,43,13.6%,28,23.0%,39,17.3,49,113.7,35,56.9%,93,18.7%,20,31.0%,46,19.5
NOP,CJ McCollum,Trey Murphy III,Brandon Ingram,Herbert Jones,Jonas Valanciunas,400,9,-17.2,34,111.8,36,54.0%,22,15.5%,70,29.8%,26,16.1,8,129.0,20,59.1%,9,9.1%,44,26.2%,47,19.4
MIN,Mike Conley,Anthony Edwards,Jaden McDaniels,Kyle Anderson,Rudy Gobert,398,68,+8.9,57,118.3,58,56.4%,52,13.1%,63,28.7%,34,16.7,69,109.5,57,53.7%,43,12.9%,40,27.0%,91,12.5
SAS,Tre Jones,Devin Vassell,Keldon Johnson,Jeremy Sochan,Jakob Poeltl,397,44,+0.9,30,110.8,28,52.9%,36,14.1%,75,30.7%,5,11.8,68,110.0,29,57.4%,87,17.2%,30,28.4%,96,11.5
CLE,Darius Garland,Donovan Mitchell,Caris LeVert,Evan Mobley,Jarrett Allen,386,80,+13.4,49,116.3,39,54.4%,43,13.7%,77,31.4%,62,20.9,89,102.9,89,48.9%,40,12.5%,74,22.2%,31,21.5
BKN,Spencer Dinwiddie,Mikal Bridges,Cameron Johnson,Dorian Finney-Smith,Nicolas Claxton,384,39,-0.8,21,108.1,31,53.3%,73,12.0%,22,21.7%,49,19.0,72,108.9,86,49.6%,44,13.0%,23,29.5%,78,15.0
DEN,Kentavious Caldwell-Pope,Bruce Brown,Michael Porter,Aaron Gordon,Nikola Jokic,383,92,+20.7,96,132.6,90,62.3%,68,12.3%,36,24.2%,78,24.0,60,111.9,66,52.6%,61,14.2%,51,25.5%,11,26.3
MIA,Gabe Vincent,Tyler Herro,Jimmy Butler,Kevin Love,Bam Adebayo,379,43,+0.8,33,111.6,37,54.2%,22,15.6%,44,25.3%,45,18.5,64,110.9,45,55.6%,65,14.7%,79,21.3%,72,15.6
DAL,Luka Doncic,Spencer Dinwiddie,Tim Hardaway Jr.,Reggie Bullock,Christian Wood,377,39,-0.8,50,116.4,62,57.1%,95,8.8%,1,11.7%,29,16.4,33,117.3,49,55.1%,13,9.9%,27,28.9%,88,13.2
MIL,Jrue Holiday,Jevon Carter,Grayson Allen,Giannis Antetokounmpo,Brook Lopez,375,91,+20.4,55,117.6,54,55.9%,39,13.9%,56,27.3%,19,14.9,96,97.2,91,48.7%,52,13.7%,84,20.7%,71,15.9
TOR,Fred VanVleet,OG Anunoby,Scottie Barnes,Pascal Siakam,Jakob Poeltl,374,78,+13.0,73,122.2,53,55.8%,68,12.3%,86,34.0%,22,15.3,71,109.2,27,57.9%,96,19.9%,48,26.0%,52,18.4
TOR,Fred VanVleet,Gary Trent Jr.,Scottie Barnes,Pascal Siakam,Precious Achiuwa,368,51,+3.8,78,123.6,56,56.2%,55,12.8%,69,29.5%,44,18.3,25,119.9,22,58.6%,59,14.2%,53,25.2%,22,23.2
BOS,Marcus Smart,Jaylen Brown,Jayson Tatum,Grant Williams,Al Horford,359,42,+0.3,39,112.8,38,54.3%,89,10.3%,9,16.8%,41,17.8,56,112.5,53,54.2%,32,12.0%,69,22.7%,30,21.6
CHI,Patrick Beverley,Alex Caruso,Zach LaVine,DeMar DeRozan,Nikola Vucevic,354,89,+18.6,66,120.1,83,60.5%,63,12.4%,25,22.7%,35,16.8,91,101.4,80,50.7%,76,15.6%,84,20.5%,60,17.2
GSW,Stephen Curry,Jordan Poole,Klay Thompson,Andrew Wiggins,Draymond Green,350,48,+2.9,43,114.6,45,55.0%,33,14.3%,8,16.3%,74,22.8,62,111.7,63,53.0%,66,14.8%,18,31.6%,23,22.7
MEM,Ja Morant,Dillon Brooks,John Konchar,Jaren Jackson,Steven Adams,346,82,+14.2,55,117.6,52,55.7%,45,13.6%,77,31.3%,60,20.8,87,103.4,82,50.3%,53,13.7%,69,22.7%,64,16.6
DAL,Luka Doncic,Spencer Dinwiddie,Tim Hardaway Jr.,Dorian Finney-Smith,Dwight Powell,342,56,+5.5,87,127.2,88,61.7%,73,12.0%,67,29.3%,28,16.3,19,121.7,25,58.4%,34,12.0%,43,26.5%,57,17.7
LAC,Reggie Jackson,Paul George,Kawhi Leonard,Marcus Morris,Ivica Zubac,331,58,+5.8,43,114.2,66,57.5%,32,14.5%,27,22.8%,56,20.4,74,108.4,58,53.7%,18,10.7%,96,16.5%,83,14.3
WAS,Monte Morris,Bradley Beal,Deni Avdija,Kyle Kuzma,Kristaps Porzingis,317,82,+14.2,84,125.6,73,58.5%,50,13.2%,61,28.3%,52,19.5,63,111.4,64,52.8%,33,12.0%,65,23.5%,26,22.2
NYK,Jalen Brunson,Immanuel Quickley,Quentin Grimes,Julius Randle,Mitchell Robinson,314,54,+5.2,34,111.8,21,51.0%,63,12.4%,64,28.9%,51,19.4,79,106.6,85,49.8%,43,12.9%,50,25.6%,47,19.4
DAL,Luka Doncic,Spencer Dinwiddie,Reggie Bullock,Dorian Finney-Smith,Dwight Powell,312,77,+12.6,59,118.9,66,57.5%,60,12.5%,29,23.1%,40,17.5,80,106.3,71,52.0%,86,17.0%,16,32.2%,58,17.6
CHA,Terry Rozier,Jalen McDaniels,Kelly Oubre,PJ Washington,Mason Plumlee,301,49,+3.3,23,108.3,14,49.3%,79,11.3%,46,25.9%,31,16.5,84,105.1,85,49.8%,78,15.8%,39,27.0%,32,21.3
CLE,Darius Garland,Donovan Mitchell,Lamar Stevens,Evan Mobley,Jarrett Allen,301,31,-3.4,46,115.6,87,61.7%,14,16.3%,51,26.5%,6,12.1,28,119.1,21,58.9%,50,13.4%,59,24.3%,96,11.6
GSW,Jordan Poole,Donte DiVincenzo,Klay Thompson,Draymond Green,Kevon Looney,289,37,-1.0,52,117.0,36,54.2%,62,12.5%,87,34.6%,14,14.1,30,118.0,70,52.2%,11,9.7%,21,30.1%,52,18.3
IND,Andrew Nembhard,Tyrese Haliburton,Buddy Hield,Jalen Smith,Myles Turner,286,34,-1.8,27,110.1,46,55.1%,26,15.0%,21,21.5%,17,14.6,59,112.0,64,52.8%,49,13.4%,33,27.7%,16,24.1
