GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GROUP_ID,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,GROUP_NAME,POSITION,Player_Count
On/Off Court,1610612764,WAS,Washington Wizards,1630166,"Avdija, Deni",On,76,33,43,0.434,2020.0,112.4,113.3,113.0,114.1,-0.6,-0.8,0.622,1.84,18.7,0.265,0.721,0.502,0.14,0.552,0.59,100.7,99.76,83.13,4192,0.513,2,1,21,8,4,10,15,10,3,7,7,15,14,11,13,12,9,15,7,Deni Avdija,F,1
On/Off Court,1610612764,WAS,Washington Wizards,203115,"Barton, Will",On,40,18,22,0.45,782.0,104.5,105.5,113.0,114.2,-8.5,-8.7,0.576,1.61,16.8,0.289,0.713,0.495,0.143,0.513,0.544,101.5,100.48,83.73,1641,0.457,12,12,12,7,10,18,16,22,16,15,15,8,18,18,15,18,19,11,20,Will Barton,G,1
On/Off Court,1610612764,WAS,Washington Wizards,203078,"Beal, Bradley",On,50,24,26,0.48,1673.0,114.8,116.6,114.9,115.9,-0.1,0.7,0.611,1.95,19.1,0.283,0.735,0.517,0.136,0.562,0.598,99.2,97.94,81.62,3421,0.518,9,8,14,4,6,5,20,6,8,5,4,9,8,4,9,6,6,22,6,Bradley Beal,G,1
On/Off Court,1610612764,WAS,Washington Wizards,1631123,"Bouyea, Jamaree",On,1,0,1,0.0,6.0,117.3,118.2,82.7,75.0,34.6,43.2,0.333,0.5,7.7,0.25,0.8,0.556,0.182,0.5,0.645,95.2,99.76,83.13,11,0.654,23,22,1,22,23,2,1,2,23,22,23,19,3,1,23,19,1,16,1,Jamaree Bouyea,G,1
On/Off Court,1610612764,WAS,Washington Wizards,1630176,"Carey Jr., Vernon",On,11,8,3,0.727,28.0,80.0,74.6,102.2,91.9,-22.2,-17.3,0.563,0.82,10.7,0.351,0.815,0.547,0.175,0.33,0.4,96.5,105.32,87.77,63,0.316,16,16,3,1,21,23,3,23,19,21,22,1,2,2,22,23,23,5,23,Vernon Carey Jr.,C,1
On/Off Court,1610612764,WAS,Washington Wizards,1641645,"Cooks, Xavier",On,10,2,8,0.2,126.0,115.5,114.8,108.3,107.3,7.2,7.4,0.661,2.0,19.1,0.27,0.717,0.497,0.134,0.553,0.586,108.0,108.76,90.63,284,0.546,17,18,8,20,17,7,5,3,1,2,3,12,16,13,6,11,12,1,3,Xavier Cooks,F,1
On/Off Court,1610612764,WAS,Washington Wizards,1631098,"Davis, Johnny",On,28,10,18,0.357,423.0,100.6,101.7,109.0,107.9,-8.4,-6.2,0.559,1.56,15.7,0.278,0.733,0.494,0.137,0.484,0.516,102.6,102.68,85.57,905,0.445,15,15,10,14,15,21,7,19,20,16,20,10,9,20,11,20,21,6,22,Johnny Davis,G,1
On/Off Court,1610612764,WAS,Washington Wizards,1629653,"Dotson, Devon",On,6,1,5,0.167,53.0,102.8,101.8,105.2,107.5,-2.4,-5.7,0.538,1.4,14.1,0.321,0.702,0.495,0.136,0.484,0.529,98.7,98.08,81.73,110,0.493,20,21,5,21,20,20,6,18,21,19,21,2,21,17,10,21,20,21,15,Devon Dotson,G,1
On/Off Court,1610612764,WAS,Washington Wizards,1629655,"Gafford, Daniel",On,78,32,46,0.41,1604.0,110.7,111.7,114.3,114.3,-3.7,-2.5,0.577,1.69,17.8,0.299,0.706,0.509,0.145,0.546,0.577,100.3,99.88,83.23,3336,0.496,1,2,23,12,7,13,17,13,14,12,13,5,20,8,16,13,14,14,12,Daniel Gafford,F-C,1
On/Off Court,1610612764,WAS,Washington Wizards,201959,"Gibson, Taj",On,49,21,28,0.429,480.0,110.7,110.6,113.5,111.7,-2.8,-1.1,0.576,1.83,17.9,0.263,0.763,0.501,0.134,0.562,0.583,98.7,99.51,82.92,999,0.479,11,10,15,9,13,14,13,12,15,8,11,16,4,12,7,5,13,18,18,Taj Gibson,F,1
