GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GROUP_ID,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,GROUP_NAME,POSITION,Player_Count
On/Off Court,1610612755,PHI,Philadelphia 76ers,1630577,"Champagnie, Julian",On,2,2,0,1.0,7.0,135.7,127.3,159.0,150.0,-23.4,-22.7,0.6,1.5,17.6,0.6,0.667,0.625,0.182,0.55,0.618,77.9,82.8,69.0,11,0.422,17,17,1,1,20,1,21,20,12,17,15,1,19,2,18,14,5,21,20,Julian Champagnie,F,1
On/Off Court,1610612755,PHI,Philadelphia 76ers,203473,"Dedmon, Dewayne",On,8,6,2,0.75,76.0,101.3,103.2,111.2,114.8,-9.8,-11.7,0.607,1.23,17.2,0.301,0.62,0.467,0.19,0.53,0.566,103.1,100.54,83.79,158,0.435,16,16,6,6,16,20,18,19,11,19,19,7,20,20,19,19,19,10,19,Dewayne Dedmon,C,1
On/Off Court,1610612755,PHI,Philadelphia 76ers,203954,"Embiid, Joel",On,66,43,23,0.652,2284.0,118.3,119.0,108.6,110.2,9.7,8.8,0.65,1.96,19.5,0.234,0.73,0.5,0.136,0.578,0.63,98.4,97.34,81.12,4639,0.556,7,7,15,13,2,5,8,3,1,4,2,20,10,11,9,4,2,15,3,Joel Embiid,C-F,1
On/Off Court,1610612755,PHI,Philadelphia 76ers,1630701,"Foster Jr., Michael",On,1,1,0,1.0,1.0,0.0,0.0,200.0,100.0,-200.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,69.7,92.9,77.42,2,-1.0,20,19,1,1,21,21,2,21,21,21,21,21,21,21,21,21,21,20,21,Michael Foster Jr.,F,1
On/Off Court,1610612755,PHI,Philadelphia 76ers,201935,"Harden, James",On,58,39,19,0.672,2135.0,118.0,119.4,111.2,113.3,6.9,6.1,0.637,2.0,19.2,0.253,0.733,0.502,0.132,0.571,0.619,97.6,96.11,80.09,4282,0.536,9,8,12,9,4,3,16,4,3,2,3,16,7,9,6,6,4,18,4,James Harden,G,1
On/Off Court,1610612755,PHI,Philadelphia 76ers,1626149,"Harrell, Montrezl",On,57,35,22,0.614,681.0,112.5,111.9,109.5,109.6,3.0,2.2,0.549,1.64,16.5,0.27,0.711,0.493,0.136,0.55,0.588,101.1,101.28,84.4,1431,0.501,10,11,14,20,11,15,6,13,19,14,20,10,13,14,7,15,15,8,16,Montrezl Harrell,F-C,1
On/Off Court,1610612755,PHI,Philadelphia 76ers,202699,"Harris, Tobias",On,74,47,27,0.635,2436.0,115.9,117.2,110.1,111.7,5.8,5.5,0.625,1.9,19.0,0.255,0.731,0.502,0.137,0.564,0.609,97.8,96.53,80.44,4910,0.532,5,5,18,19,1,9,12,6,5,7,4,14,9,10,10,10,11,16,6,Tobias Harris,F,1
On/Off Court,1610612755,PHI,Philadelphia 76ers,1627863,"House Jr., Danuel",On,56,38,18,0.679,807.0,113.8,112.8,111.9,112.5,1.9,0.3,0.618,1.65,18.5,0.252,0.689,0.48,0.152,0.576,0.613,100.8,101.02,84.19,1689,0.506,11,10,11,8,9,13,13,16,7,13,7,17,18,17,14,5,7,9,13,Danuel House Jr.,F-G,1
On/Off Court,1610612755,PHI,Philadelphia 76ers,1629663,"King, Louis",On,1,1,0,1.0,29.0,123.9,125.8,123.5,120.6,0.4,5.2,0.533,1.6,18.0,0.4,0.741,0.561,0.161,0.603,0.629,103.8,104.17,86.81,62,0.489,20,19,1,1,18,2,20,8,20,16,11,2,3,3,15,2,3,2,18,Louis King,F,1
On/Off Court,1610612755,PHI,Philadelphia 76ers,1627788,"Korkmaz, Furkan",On,37,24,13,0.649,353.0,105.8,105.0,104.5,103.7,1.3,1.4,0.632,1.42,17.7,0.297,0.696,0.5,0.172,0.531,0.568,102.3,103.06,85.89,755,0.513,13,13,9,16,14,19,3,14,4,18,14,8,16,12,16,18,18,4,11,Furkan Korkmaz,G-F,1
On/Off Court,1610612755,PHI,Philadelphia 76ers,1630240,"Lee, Saben",On,2,1,1,0.5,10.0,130.2,119.0,105.9,105.3,24.3,13.8,0.556,1.0,17.9,0.4,1.0,0.727,0.238,0.714,0.772,90.3,94.89,79.08,21,0.667,17,19,5,21,19,4,5,2,18,20,12,2,1,1,20,1,1,19,1,Saben Lee,G,1
On/Off Court,1610612755,PHI,Philadelphia 76ers,1630178,"Maxey, Tyrese",On,60,39,21,0.65,2016.0,117.1,118.0,111.7,112.6,5.5,5.4,0.607,1.93,18.5,0.262,0.736,0.504,0.131,0.567,0.612,98.3,97.53,81.28,4105,0.524,8,8,13,14,5,7,14,7,10,6,6,13,5,8,4,8,9,14,7,Tyrese Maxey,G,1
On/Off Court,1610612755,PHI,Philadelphia 76ers,1630644,"McClung, Mac",On,2,2,0,1.0,41.0,110.6,115.2,95.7,95.7,15.0,19.6,0.65,1.63,20.2,0.293,0.761,0.54,0.174,0.59,0.611,109.8,107.53,89.61,92,0.614,17,17,1,1,17,11,1,1,2,15,1,9,2,4,17,3,10,1,2,Mac McClung,G,1
On/Off Court,1610612755,PHI,Philadelphia 76ers,1629667,"McDaniels, Jalen",On,24,16,8,0.667,419.0,120.1,118.9,114.7,115.9,5.4,3.1,0.591,1.96,18.0,0.303,0.732,0.518,0.127,0.565,0.614,101.4,101.35,84.46,882,0.512,14,14,8,10,13,6,19,11,15,3,10,6,8,6,2,9,6,7,12,Jalen McDaniels,F-C,1
On/Off Court,1610612755,PHI,Philadelphia 76ers,1629001,"Melton, De'Anthony",On,77,50,27,0.649,2150.0,114.8,115.5,110.9,112.8,4.0,2.7,0.621,1.79,18.3,0.253,0.716,0.491,0.14,0.557,0.605,98.9,97.76,81.47,4372,0.516,2,3,18,15,3,10,15,12,6,10,8,15,12,15,11,12,12,13,10,De'Anthony Melton,G,1
On/Off Court,1610612755,PHI,Philadelphia 76ers,1629003,"Milton, Shake",On,76,52,24,0.684,1567.0,114.5,114.1,109.3,110.2,5.2,3.9,0.597,1.81,18.1,0.264,0.704,0.489,0.136,0.557,0.6,101.7,101.46,84.55,3319,0.519,3,1,16,7,7,12,7,10,13,9,9,12,14,16,8,11,13,6,9,Shake Milton,G-F,1
On/Off Court,1610612755,PHI,Philadelphia 76ers,1627777,"Niang, Georges",On,78,51,27,0.654,1512.0,112.7,112.5,110.2,111.1,2.6,1.3,0.609,1.7,17.8,0.252,0.696,0.48,0.142,0.554,0.598,100.8,100.5,83.75,3180,0.505,1,2,18,11,8,14,10,15,9,11,13,18,15,18,12,13,14,11,15,Georges Niang,F,1
On/Off Court,1610612755,PHI,Philadelphia 76ers,1630194,"Reed, Paul",On,69,44,25,0.638,755.0,112.4,111.0,111.1,111.5,1.3,-0.4,0.588,1.66,17.5,0.319,0.725,0.516,0.147,0.541,0.575,99.6,100.08,83.4,1570,0.491,6,6,17,18,10,16,11,17,17,12,16,4,11,7,13,17,17,12,17,Paul Reed,F,1
On/Off Court,1610612755,PHI,Philadelphia 76ers,1630531,"Springer, Jaden",On,16,13,3,0.813,89.0,111.8,108.8,108.7,110.9,3.1,-2.1,0.595,2.04,17.4,0.316,0.739,0.519,0.119,0.509,0.556,103.6,104.05,86.71,194,0.505,15,15,7,5,15,18,9,18,14,1,17,5,4,5,1,20,20,3,14,Jaden Springer,G,1
On/Off Court,1610612755,PHI,Philadelphia 76ers,1629680,"Thybulle, Matisse",On,49,32,17,0.653,591.0,112.7,110.2,103.3,104.2,9.4,6.0,0.589,1.82,17.3,0.266,0.69,0.475,0.128,0.541,0.584,101.9,102.55,85.46,1262,0.534,12,12,10,12,12,17,4,5,16,8,18,11,17,19,3,16,16,5,5,Matisse Thybulle,G-F,1
On/Off Court,1610612755,PHI,Philadelphia 76ers,200782,"Tucker, P.J.",On,75,48,27,0.64,1920.0,116.4,117.3,111.7,113.3,4.7,4.0,0.618,1.95,18.8,0.237,0.736,0.495,0.131,0.568,0.613,97.5,96.47,80.39,3851,0.52,4,4,18,17,6,8,17,9,8,5,5,19,6,13,5,7,8,17,8,P.J. Tucker,F,1
