GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GROUP_ID,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,GROUP_NAME,POSITION,Player_Count
On/Off Court,1610612737,ATL,Atlanta Hawks,1630180,"Bey, Saddiq",On,25,12,13,0.48,629.0,120.8,122.2,114.0,114.3,6.7,8.0,0.538,1.98,17.4,0.341,0.737,0.535,0.123,0.56,0.602,103.6,102.86,85.72,1344,0.524,14,12,6,15,11,1,12,2,18,7,11,4,3,3,8,2,1,8,2,Saddiq Bey,F,1
On/Off Court,1610612737,ATL,Atlanta Hawks,203992,"Bogdanovic, Bogdan",On,54,27,27,0.5,1509.0,116.9,117.3,114.9,116.1,2.0,1.2,0.563,2.01,17.8,0.288,0.712,0.503,0.122,0.559,0.596,101.9,101.23,84.36,3193,0.509,10,10,11,10,7,3,18,7,12,6,6,13,13,8,7,3,3,17,3,Bogdan Bogdanovic,G,1
On/Off Court,1610612737,ATL,Atlanta Hawks,203991,"Capela, Clint",On,65,35,30,0.538,1730.0,114.9,115.3,115.8,116.4,-0.9,-1.1,0.558,2.04,17.7,0.313,0.729,0.515,0.122,0.54,0.574,103.5,102.96,85.8,3716,0.501,8,5,12,2,6,5,20,13,14,4,7,5,5,5,6,11,12,7,8,Clint Capela,C,1
On/Off Court,1610612737,ATL,Atlanta Hawks,1628381,"Collins, John",On,71,37,34,0.521,2130.0,114.0,115.0,114.5,115.2,-0.4,-0.2,0.566,2.01,18.0,0.274,0.727,0.498,0.123,0.544,0.581,103.4,102.6,85.5,4547,0.501,5,4,15,4,3,6,15,10,9,5,3,18,6,10,10,9,8,13,7,John Collins,F-C,1
On/Off Court,1610612737,ATL,Atlanta Hawks,1629633,"Culver, Jarrett",On,10,5,5,0.5,137.0,109.1,108.5,115.7,114.1,-6.6,-5.7,0.425,1.46,13.7,0.307,0.727,0.498,0.125,0.511,0.538,102.8,103.8,86.5,295,0.445,17,17,3,10,16,15,11,18,20,19,20,7,7,11,12,17,17,3,20,Jarrett Culver,G-F,1
On/Off Court,1610612737,ATL,Atlanta Hawks,1628981,"Fernando, Bruno",On,8,4,4,0.5,41.0,101.0,96.6,107.1,102.3,-6.1,-5.6,0.618,1.4,16.4,0.367,0.818,0.581,0.169,0.469,0.499,98.2,102.77,85.65,89,0.463,19,18,2,10,19,20,2,17,4,20,18,3,2,2,20,20,20,10,18,Bruno Fernando,F-C,1
On/Off Court,1610612737,ATL,Atlanta Hawks,1630235,"Forrest, Trent",On,23,9,14,0.391,277.0,105.7,104.3,112.8,114.4,-7.2,-10.1,0.624,1.66,17.9,0.246,0.726,0.484,0.147,0.52,0.56,101.5,101.47,84.56,586,0.45,15,16,7,20,13,18,13,20,3,17,4,19,8,19,19,16,16,16,19,Trent Forrest,G,1
On/Off Court,1610612737,ATL,Atlanta Hawks,1631100,"Griffin, AJ",On,72,34,38,0.472,1401.0,113.9,113.6,111.6,112.0,2.3,1.5,0.581,1.95,17.9,0.299,0.714,0.507,0.127,0.548,0.582,102.7,102.67,85.56,3005,0.504,4,8,19,16,8,10,9,5,7,10,5,9,11,6,14,4,7,11,6,AJ Griffin,F,1
On/Off Court,1610612737,ATL,Atlanta Hawks,1628988,"Holiday, Aaron",On,63,32,31,0.508,845.0,111.5,110.8,110.0,110.0,1.5,0.9,0.548,1.88,16.5,0.301,0.693,0.488,0.121,0.524,0.563,102.9,103.27,86.06,1819,0.499,9,9,13,9,10,13,5,8,16,13,17,8,19,17,4,15,15,6,10,Aaron Holiday,G,1
On/Off Court,1610612737,ATL,Atlanta Hawks,203200,"Holiday, Justin",On,28,12,16,0.429,411.0,104.2,103.9,110.6,111.9,-6.4,-7.9,0.566,1.8,16.0,0.298,0.694,0.487,0.122,0.492,0.533,104.0,103.53,86.28,888,0.464,12,12,10,18,12,19,8,19,10,16,19,10,18,18,5,19,18,4,17,Justin Holiday,F-G,1
