GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GROUP_ID,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,GROUP_NAME,POSITION,Player_Count
On/Off Court,1610612751,BKN,Brooklyn Nets,1628969,"Bridges, Mikal",On,27,12,15,0.444,923.0,110.6,112.3,110.3,112.6,0.3,-0.3,0.628,2.07,18.1,0.249,0.692,0.472,0.121,0.525,0.568,99.8,97.97,81.64,1883,0.504,13,16,14,21,10,11,15,12,10,4,12,11,11,14,4,17,18,24,10,Mikal Bridges,G-F,1
On/Off Court,1610612751,BKN,Brooklyn Nets,1629650,"Brown, Moses",On,2,1,1,0.5,6.0,37.2,33.3,85.0,83.3,-47.9,-50.0,1.0,1.0,6.7,0.222,0.5,0.353,0.083,0.111,0.186,84.4,90.0,75.0,12,-0.455,23,23,2,15,24,25,1,24,1,23,24,19,25,25,1,25,25,25,25,Moses Brown,C,1
On/Off Court,1610612751,BKN,Brooklyn Nets,1629651,"Claxton, Nic",On,76,41,35,0.539,2271.0,115.1,115.1,109.0,111.3,6.2,3.7,0.624,2.05,19.6,0.227,0.69,0.476,0.131,0.578,0.608,99.7,98.59,82.16,4640,0.532,1,2,25,12,2,4,9,5,12,5,4,16,13,9,7,4,5,19,3,Nic Claxton,C,1
On/Off Court,1610612751,BKN,Brooklyn Nets,203552,"Curry, Seth",On,61,37,24,0.607,1211.0,110.4,110.4,112.8,113.9,-2.5,-3.5,0.629,1.82,18.9,0.202,0.705,0.462,0.139,0.557,0.592,100.7,100.21,83.5,2536,0.484,4,4,19,6,6,18,20,17,9,13,8,25,4,19,11,11,12,15,17,Seth Curry,G,1
On/Off Court,1610612751,BKN,Brooklyn Nets,203915,"Dinwiddie, Spencer",On,26,13,13,0.5,917.0,112.8,114.8,109.0,111.1,3.8,3.7,0.626,2.2,18.2,0.252,0.694,0.475,0.114,0.531,0.576,100.0,98.24,81.87,1876,0.524,15,15,9,15,11,6,8,6,11,1,11,7,9,12,3,15,14,22,5,Spencer Dinwiddie,G,1
On/Off Court,1610612751,BKN,Brooklyn Nets,1630561,"Duke Jr., David",On,23,10,13,0.435,228.0,105.6,105.2,112.9,111.5,-7.3,-6.3,0.536,1.11,14.9,0.31,0.68,0.497,0.18,0.519,0.568,101.3,102.09,85.08,483,0.444,19,19,9,22,19,21,10,19,22,22,22,4,18,5,24,19,17,9,20,David Duke Jr.,G,1
On/Off Court,1610612751,BKN,Brooklyn Nets,201142,"Durant, Kevin",On,39,26,13,0.667,1403.0,116.3,117.0,108.4,111.0,7.9,6.1,0.618,1.91,20.0,0.215,0.7,0.482,0.142,0.595,0.628,100.7,99.23,82.69,2905,0.548,12,8,9,2,5,1,6,1,13,8,2,21,7,7,15,2,1,17,1,Kevin Durant,F,1
On/Off Court,1610612751,BKN,Brooklyn Nets,1630556,"Edwards, Kessler",On,14,5,9,0.357,80.0,118.0,116.8,116.3,115.7,1.7,1.1,0.493,1.37,15.2,0.395,0.703,0.538,0.156,0.529,0.573,103.3,104.14,86.79,173,0.498,20,20,6,23,21,2,21,10,24,20,21,2,5,2,21,16,16,4,12,Kessler Edwards,F,1
On/Off Court,1610612751,BKN,Brooklyn Nets,1627827,"Finney-Smith, Dorian",On,26,12,14,0.462,721.0,111.0,111.5,111.1,113.0,0.0,-1.5,0.603,2.16,17.4,0.246,0.707,0.475,0.109,0.517,0.563,100.2,99.12,82.6,1489,0.494,15,16,13,18,14,16,17,15,14,2,17,12,3,10,2,20,20,18,15,Dorian Finney-Smith,F,1
On/Off Court,1610612751,BKN,Brooklyn Nets,1630564,"Gray, RaiQuan",On,1,0,1,0.0,35.0,107.2,108.2,121.6,125.7,-14.4,-17.5,0.654,1.89,17.0,0.25,0.647,0.432,0.123,0.469,0.536,102.7,100.56,83.8,73,0.417,24,25,2,25,23,20,24,23,5,11,18,10,21,23,5,22,21,13,23,RaiQuan Gray,F,1
