GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GROUP_ID,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,GROUP_NAME,POSITION,Player_Count
On/Off Court,1610612766,CHA,Charlotte Hornets,1630163,"Ball, LaMelo",On,36,13,23,0.361,1268.0,111.4,112.5,116.1,117.3,-4.7,-4.7,0.606,1.99,18.5,0.266,0.726,0.489,0.128,0.539,0.569,105.4,104.37,86.97,2748,0.476,14,13,5,4,8,1,17,7,9,2,5,14,5,14,3,2,2,2,8,LaMelo Ball,G,1
On/Off Court,1610612766,CHA,Charlotte Hornets,1630547,"Bouknight, James",On,34,9,25,0.265,515.0,101.4,102.6,109.9,110.9,-8.4,-8.3,0.602,1.37,16.9,0.286,0.711,0.5,0.169,0.511,0.543,103.3,102.25,85.2,1095,0.461,15,15,6,17,15,16,6,14,12,17,13,5,11,4,17,12,15,13,14,James Bouknight,G,1
On/Off Court,1610612766,CHA,Charlotte Hornets,202330,"Hayward, Gordon",On,50,20,30,0.4,1577.0,107.6,108.4,110.6,111.7,-2.9,-3.3,0.632,1.91,18.6,0.256,0.738,0.493,0.135,0.527,0.559,103.9,103.01,85.84,3386,0.489,8,4,8,3,4,5,8,4,5,4,3,16,1,9,8,3,4,7,4,Gordon Hayward,F,1
On/Off Court,1610612766,CHA,Charlotte Hornets,1630539,"Jones, Kai",On,46,13,33,0.283,550.0,105.8,105.3,108.7,108.4,-2.8,-3.1,0.572,1.42,15.9,0.284,0.696,0.494,0.15,0.51,0.557,101.7,102.09,85.08,1171,0.495,10,13,12,14,14,13,2,3,19,16,19,6,18,7,13,13,6,15,3,Kai Jones,C-F,1
On/Off Court,1610612766,CHA,Charlotte Hornets,1630177,"Maledon, Theo",On,44,14,30,0.318,854.0,107.3,106.9,115.2,115.8,-7.9,-8.9,0.587,1.57,16.9,0.294,0.696,0.491,0.147,0.517,0.557,102.5,102.36,85.3,1827,0.467,12,12,8,11,11,11,16,15,16,13,15,2,17,11,12,8,5,11,10,Theo Maledon,G,1
On/Off Court,1610612766,CHA,Charlotte Hornets,1628998,"Martin, Cody",On,7,2,5,0.286,134.0,110.1,107.6,115.8,117.3,-5.7,-9.7,0.593,1.81,16.9,0.273,0.707,0.493,0.127,0.526,0.564,103.6,104.1,86.75,291,0.458,17,17,3,13,17,8,18,17,14,7,14,12,12,8,1,4,3,3,15,Cody Martin,F,1
On/Off Court,1610612766,CHA,Charlotte Hornets,1629667,"McDaniels, Jalen",On,56,15,41,0.268,1494.0,107.6,108.2,112.6,113.4,-4.9,-5.1,0.587,1.77,17.2,0.291,0.698,0.49,0.134,0.514,0.55,103.4,102.8,85.66,3197,0.48,5,10,14,15,6,6,11,8,17,9,11,3,16,13,7,9,10,8,7,Jalen McDaniels,F-C,1
On/Off Court,1610612766,CHA,Charlotte Hornets,1631121,"McGowens, Bryce",On,46,16,30,0.348,787.0,103.3,102.6,112.1,112.3,-8.8,-9.7,0.629,1.55,17.2,0.269,0.704,0.488,0.151,0.505,0.548,102.8,103.04,85.87,1696,0.47,10,8,8,6,13,17,10,16,6,14,10,13,14,15,14,15,12,6,9,Bryce McGowens,G,1
On/Off Court,1610612766,CHA,Charlotte Hornets,1629004,"Mykhailiuk, Svi",On,19,8,11,0.421,428.0,109.9,111.0,111.5,111.5,-1.6,-0.5,0.682,1.78,19.6,0.29,0.716,0.505,0.155,0.547,0.58,101.6,101.06,84.22,903,0.501,16,16,4,1,16,2,7,1,3,8,1,4,8,1,16,1,1,19,1,Svi Mykhailiuk,G-F,1
On/Off Court,1610612766,CHA,Charlotte Hornets,1626162,"Oubre Jr., Kelly",On,48,16,32,0.333,1548.0,106.0,107.6,113.9,115.3,-7.9,-7.7,0.599,1.83,17.3,0.282,0.713,0.485,0.131,0.503,0.539,103.3,101.92,84.94,3275,0.455,9,8,11,7,5,7,14,13,13,6,8,7,10,17,4,17,16,16,17,Kelly Oubre Jr.,F-G,1
