GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GROUP_ID,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,GROUP_NAME,POSITION,Player_Count
On/Off Court,1610612741,CHI,Chicago Bulls,201976,"Beverley, Patrick",On,22,13,9,0.591,605.0,111.1,112.1,109.1,110.6,1.9,1.6,0.595,2.19,18.9,0.195,0.744,0.473,0.116,0.55,0.583,96.9,95.78,79.82,1204,0.511,13,12,6,3,11,9,13,12,2,6,2,16,8,16,6,10,13,18,13,Patrick Beverley,G,1
On/Off Court,1610612741,CHI,Chicago Bulls,1628396,"Bradley, Tony",On,12,5,7,0.417,33.0,115.6,106.1,102.6,96.2,13.0,9.9,0.733,2.75,20.4,0.118,0.806,0.471,0.098,0.59,0.619,107.4,115.81,96.51,82,0.565,14,14,5,17,16,16,5,5,1,3,1,18,2,17,5,3,3,3,5,Tony Bradley,C-F,1
On/Off Court,1610612741,CHI,Chicago Bulls,1627936,"Caruso, Alex",On,67,33,34,0.493,1575.0,112.4,112.6,105.8,106.5,6.6,6.1,0.573,1.8,17.9,0.246,0.735,0.497,0.134,0.553,0.591,100.2,99.79,83.15,3275,0.535,7,7,10,10,7,5,10,7,9,12,9,9,10,8,13,8,5,15,8,Alex Caruso,G,1
On/Off Court,1610612741,CHI,Chicago Bulls,201942,"DeRozan, DeMar",On,74,37,37,0.5,2682.0,112.3,112.2,110.1,110.7,2.2,1.5,0.565,1.91,17.9,0.221,0.744,0.489,0.125,0.552,0.59,100.1,99.82,83.18,5569,0.512,5,5,13,5,3,8,15,13,11,8,8,12,7,13,7,9,8,14,12,DeMar DeRozan,G-F,1
On/Off Court,1610612741,CHI,Chicago Bulls,1630245,"Dosunmu, Ayo",On,80,40,40,0.5,2098.0,109.2,108.8,109.5,110.1,-0.3,-1.3,0.591,1.79,18.1,0.224,0.746,0.493,0.136,0.54,0.576,100.9,100.78,83.98,4395,0.498,3,1,16,5,5,13,12,17,4,13,6,11,5,11,14,15,14,11,17,Ayo Dosunmu,G,1
On/Off Court,1610612741,CHI,Chicago Bulls,201609,"Dragic, Goran",On,51,23,28,0.451,787.0,111.0,111.9,110.5,110.6,0.5,1.2,0.571,1.68,17.6,0.279,0.706,0.494,0.142,0.544,0.584,103.5,103.03,85.86,1694,0.507,10,10,9,15,10,11,14,14,10,16,10,4,16,10,16,12,12,5,15,Goran Dragic,G,1
On/Off Court,1610612741,CHI,Chicago Bulls,203083,"Drummond, Andre",On,67,32,35,0.478,849.0,109.5,108.7,106.4,106.0,3.1,2.6,0.517,1.52,15.7,0.321,0.709,0.515,0.141,0.526,0.56,101.2,101.72,84.77,1789,0.515,7,8,11,13,9,14,7,11,14,17,15,1,15,2,15,17,18,8,10,Andre Drummond,C,1
On/Off Court,1610612741,CHI,Chicago Bulls,1629750,"Green, Javonte",On,32,13,19,0.406,480.0,112.4,112.4,105.1,106.5,7.3,5.9,0.581,1.71,18.0,0.285,0.715,0.509,0.144,0.549,0.586,103.0,102.3,85.25,1018,0.542,12,12,7,18,12,6,9,8,6,15,7,3,14,4,17,11,11,7,7,Javonte Green,G,1
On/Off Court,1610612741,CHI,Chicago Bulls,1630792,"Hill, Malcolm",On,5,4,1,0.8,9.0,130.2,104.3,67.0,65.2,63.2,39.1,0.5,5.0,17.2,0.125,0.929,0.636,0.043,0.639,0.651,107.1,120.66,100.55,23,0.838,17,15,1,1,18,18,1,2,15,1,13,17,1,1,1,1,1,1,1,Malcolm Hill,F,1
On/Off Court,1610612741,CHI,Chicago Bulls,1627884,"Jones Jr., Derrick",On,64,29,35,0.453,893.0,112.8,112.8,105.4,106.0,7.3,6.7,0.574,1.76,17.3,0.278,0.693,0.495,0.134,0.542,0.587,101.8,101.46,84.55,1886,0.545,9,9,11,14,8,4,8,6,8,14,12,5,18,9,12,13,10,9,6,Derrick Jones Jr.,F,1
