GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GROUP_ID,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,GROUP_NAME,POSITION,Player_Count
On/Off Court,1610612739,CLE,Cleveland Cavaliers,1628386,"Allen, Jarrett",On,68,44,24,0.647,2220.0,115.9,116.5,107.8,108.8,8.1,7.7,0.597,1.84,18.7,0.289,0.736,0.516,0.141,0.568,0.601,97.4,96.62,80.52,4469,0.543,6,5,12,8,5,2,10,3,13,9,7,2,4,2,11,2,2,16,3,Jarrett Allen,C,1
On/Off Court,1610612739,CLE,Cleveland Cavaliers,1629603,"Diakite, Mamadi",On,22,15,7,0.682,176.0,105.6,104.6,104.5,103.9,1.1,0.7,0.547,1.36,16.5,0.25,0.673,0.467,0.162,0.548,0.578,95.2,95.93,79.94,346,0.49,14,14,5,4,14,15,5,15,17,16,17,14,18,14,14,11,13,17,15,Mamadi Diakite,F,1
On/Off Court,1610612739,CLE,Cleveland Cavaliers,1629636,"Garland, Darius",On,69,40,29,0.58,2447.0,116.3,116.9,107.8,108.8,8.5,8.0,0.601,2.02,18.9,0.279,0.718,0.501,0.13,0.565,0.599,97.8,97.1,80.92,4968,0.547,5,7,15,18,2,1,11,2,12,2,5,3,8,5,2,4,3,11,2,Darius Garland,G,1
On/Off Court,1610612739,CLE,Cleveland Cavaliers,201980,"Green, Danny",On,8,5,3,0.625,95.0,106.7,105.5,110.6,111.9,-3.9,-6.4,0.679,1.53,20.1,0.202,0.682,0.437,0.18,0.571,0.594,101.1,101.07,84.22,200,0.478,16,16,3,13,15,14,18,17,4,15,2,17,17,18,17,1,6,1,16,Danny Green,G,1
On/Off Court,1610612739,CLE,Cleveland Cavaliers,1627747,"LeVert, Caris",On,74,45,29,0.608,2237.0,112.4,113.0,107.7,108.5,4.6,4.5,0.593,1.9,18.0,0.27,0.706,0.488,0.131,0.546,0.58,98.2,97.56,81.3,4543,0.528,4,4,15,15,4,7,8,9,15,5,12,8,10,9,3,12,12,9,7,Caris LeVert,G,1
On/Off Court,1610612739,CLE,Cleveland Cavaliers,201577,"Lopez, Robin",On,37,25,12,0.676,298.0,103.2,102.3,111.6,111.0,-8.4,-8.7,0.537,1.26,15.2,0.235,0.7,0.461,0.159,0.519,0.551,98.6,99.38,82.81,616,0.428,12,11,7,6,13,16,16,18,18,17,18,15,11,17,13,17,17,3,18,Robin Lopez,C,1
On/Off Court,1610612739,CLE,Cleveland Cavaliers,201567,"Love, Kevin",On,41,24,17,0.585,821.0,111.9,112.5,108.9,108.5,3.1,4.0,0.612,1.79,18.0,0.277,0.738,0.506,0.138,0.541,0.582,99.8,99.7,83.08,1712,0.527,11,12,9,17,10,8,9,11,7,10,14,6,3,3,10,13,11,2,8,Kevin Love,F-C,1
On/Off Court,1610612739,CLE,Cleveland Cavaliers,1630241,"Merrill, Sam",On,5,4,1,0.8,59.0,100.9,99.2,101.7,102.5,-0.8,-3.3,0.773,1.62,20.7,0.185,0.741,0.463,0.175,0.52,0.562,98.4,98.84,82.37,120,0.497,17,17,2,2,17,17,3,16,1,12,1,18,2,16,16,16,15,4,14,Sam Merrill,G,1
On/Off Court,1610612739,CLE,Cleveland Cavaliers,1628378,"Mitchell, Donovan",On,68,44,24,0.647,2432.0,114.9,116.3,108.7,110.4,6.2,5.9,0.566,1.87,18.0,0.276,0.731,0.503,0.132,0.56,0.594,98.2,96.89,80.74,4932,0.527,6,5,12,8,3,3,15,7,16,6,15,7,5,4,4,7,7,13,9,Donovan Mitchell,G,1
On/Off Court,1610612739,CLE,Cleveland Cavaliers,1630596,"Mobley, Evan",On,79,48,31,0.608,2715.0,114.7,115.5,107.8,109.0,6.9,6.5,0.603,1.95,18.7,0.279,0.717,0.5,0.133,0.558,0.592,97.9,97.02,80.85,5481,0.535,1,1,18,16,1,4,12,6,11,3,6,4,9,7,5,8,8,12,5,Evan Mobley,C,1
On/Off Court,1610612739,CLE,Cleveland Cavaliers,1630600,"Mobley, Isaiah",On,12,8,4,0.667,84.0,108.1,105.9,87.3,86.1,20.8,19.8,0.647,1.57,19.0,0.224,0.696,0.482,0.165,0.556,0.59,96.1,97.72,81.43,170,0.618,15,15,4,7,16,13,1,1,5,13,4,16,12,12,15,10,9,8,1,Isaiah Mobley,F,1
On/Off Court,1610612739,CLE,Cleveland Cavaliers,203526,"Neto, Raul",On,48,31,17,0.646,505.0,112.5,111.2,109.0,109.8,3.5,1.4,0.608,1.55,18.0,0.26,0.683,0.482,0.156,0.568,0.605,96.6,96.76,80.64,1017,0.523,9,9,9,10,12,10,14,13,8,14,13,12,16,11,12,3,1,14,11,Raul Neto,G,1
On/Off Court,1610612739,CLE,Cleveland Cavaliers,1630171,"Okoro, Isaac",On,76,48,28,0.632,1653.0,114.8,114.5,108.4,109.0,6.3,5.4,0.608,1.87,18.7,0.269,0.728,0.501,0.138,0.562,0.597,98.5,98.32,81.93,3359,0.524,3,1,14,11,6,6,13,8,9,7,8,9,6,6,9,5,5,5,10,Isaac Okoro,F-G,1
On/Off Court,1610612739,CLE,Cleveland Cavaliers,1626224,"Osman, Cedi",On,77,48,29,0.623,1548.0,115.0,115.4,107.5,108.0,7.5,7.5,0.615,1.92,18.6,0.278,0.684,0.485,0.134,0.561,0.598,97.9,97.56,81.3,3144,0.541,2,1,15,14,7,5,7,4,6,4,9,5,15,10,6,6,4,10,4,Cedi Osman,F,1
On/Off Court,1610612739,CLE,Cleveland Cavaliers,201937,"Rubio, Ricky",On,33,23,10,0.697,566.0,107.2,107.2,104.0,104.2,3.2,3.0,0.705,2.18,19.5,0.263,0.685,0.465,0.126,0.516,0.552,98.3,98.21,81.84,1163,0.522,13,13,6,3,11,12,6,12,3,1,3,11,14,15,1,18,16,6,12,Ricky Rubio,G,1
On/Off Court,1610612739,CLE,Cleveland Cavaliers,1630205,"Stevens, Lamar",On,62,39,23,0.629,1120.0,112.8,112.2,109.5,111.1,3.4,1.2,0.596,1.86,18.4,0.253,0.695,0.48,0.134,0.557,0.589,97.1,96.64,80.54,2247,0.516,8,8,11,12,8,9,17,14,14,8,11,13,13,13,7,9,10,15,13,Lamar Stevens,F,1
On/Off Court,1610612739,CLE,Cleveland Cavaliers,1629731,"Wade, Dean",On,44,30,14,0.682,892.0,109.4,109.7,102.3,103.2,7.1,6.5,0.607,1.78,17.8,0.264,0.721,0.493,0.137,0.535,0.573,98.7,98.09,81.74,1817,0.532,10,10,8,4,9,11,4,5,10,11,16,10,7,8,8,14,14,7,6,Dean Wade,F-C,1
On/Off Court,1610612739,CLE,Cleveland Cavaliers,1629685,"Windler, Dylan",On,3,3,0,1.0,10.0,90.0,94.4,107.4,90.0,-17.4,4.4,0.714,0.83,18.5,0.444,1.0,0.688,0.333,0.533,0.535,82.4,87.83,73.19,18,0.452,18,18,1,1,18,18,2,10,2,18,10,1,1,1,18,15,18,18,17,Dylan Windler,G-F,1
