GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GROUP_ID,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,GROUP_NAME,POSITION,Player_Count
On/Off Court,1610612742,DAL,Dallas Mavericks,202722,"Bertans, Davis",On,45,20,25,0.444,492.0,111.4,110.6,114.0,114.8,-2.6,-4.3,0.627,1.94,18.0,0.204,0.695,0.452,0.123,0.554,0.589,100.3,100.33,83.61,1031,0.469,10,8,14,16,13,13,11,17,7,10,6,17,19,20,14,14,11,10,17,Davis Bertans,F,1
On/Off Court,1610612742,DAL,Dallas Mavericks,203493,"Bullock, Reggie",On,78,37,41,0.474,2364.0,114.2,114.7,115.2,116.5,-0.9,-1.8,0.56,1.86,16.9,0.213,0.725,0.466,0.121,0.562,0.598,98.0,97.23,81.02,4790,0.475,1,1,23,14,2,8,19,12,20,14,15,16,7,15,9,9,7,19,14,Reggie Bullock,G-F,1
On/Off Court,1610612742,DAL,Dallas Mavericks,1630267,"Campazzo, Facundo",On,8,2,6,0.25,52.0,102.4,100.0,93.3,89.0,9.1,11.0,0.697,1.77,16.3,0.185,0.816,0.485,0.12,0.476,0.543,96.4,99.84,83.2,108,0.61,20,20,4,22,21,20,3,2,1,17,18,20,1,3,8,22,21,11,1,Facundo Campazzo,G,1
On/Off Court,1610612742,DAL,Dallas Mavericks,203915,"Dinwiddie, Spencer",On,53,28,25,0.528,1808.0,112.7,113.7,114.2,115.8,-1.6,-2.1,0.569,1.85,17.1,0.222,0.724,0.467,0.123,0.556,0.587,96.4,95.28,79.4,3589,0.477,7,6,14,4,4,9,15,14,18,15,13,11,8,13,13,11,13,23,13,Spencer Dinwiddie,G,1
On/Off Court,1610612742,DAL,Dallas Mavericks,1629029,"Doncic, Luka",On,66,33,33,0.5,2390.0,116.7,118.1,114.5,116.0,2.2,2.1,0.543,1.86,16.9,0.228,0.713,0.471,0.121,0.579,0.612,98.8,97.63,81.36,4874,0.494,5,4,18,7,1,3,17,9,21,13,16,8,12,10,10,2,3,16,10,Luka Doncic,F-G,1
On/Off Court,1610612742,DAL,Dallas Mavericks,1628416,"Dorsey, Tyler",On,3,2,1,0.667,8.0,88.9,88.2,94.5,81.3,-5.6,7.0,0.667,1.33,15.4,0.5,0.7,0.6,0.176,0.406,0.444,89.1,96.0,80.0,17,0.5,22,20,2,2,22,23,1,3,2,23,23,1,18,1,23,23,23,21,7,Tyler Dorsey,G,1
On/Off Court,1610612742,DAL,Dallas Mavericks,1627827,"Finney-Smith, Dorian",On,40,19,21,0.475,1288.0,114.0,115.4,113.5,115.0,0.5,0.4,0.534,1.77,16.2,0.256,0.713,0.474,0.123,0.554,0.586,96.9,95.66,79.72,2568,0.481,12,12,11,12,8,5,12,10,23,18,20,3,13,7,12,13,14,22,12,Dorian Finney-Smith,F,1
On/Off Court,1610612742,DAL,Dallas Mavericks,1630182,"Green, Josh",On,60,27,33,0.45,1539.0,114.7,115.3,112.7,112.8,2.0,2.5,0.587,1.92,17.6,0.235,0.705,0.466,0.124,0.566,0.601,99.2,98.96,82.47,3173,0.497,6,7,18,15,6,7,6,8,12,11,8,5,17,14,15,8,6,12,8,Josh Green,G,1
On/Off Court,1610612742,DAL,Dallas Mavericks,203501,"Hardaway Jr., Tim",On,71,37,34,0.521,2152.0,117.0,117.9,112.9,114.5,4.1,3.4,0.571,1.99,17.6,0.223,0.723,0.477,0.118,0.578,0.612,98.5,97.41,81.17,4373,0.508,3,1,20,5,3,4,10,7,16,9,10,10,9,6,7,3,4,17,5,Tim Hardaway Jr.,G-F,1
On/Off Court,1610612742,DAL,Dallas Mavericks,1630702,"Hardy, Jaden",On,48,20,28,0.417,708.0,112.9,112.5,115.9,115.6,-3.1,-3.1,0.616,1.99,17.8,0.23,0.708,0.471,0.121,0.55,0.59,101.1,101.37,84.47,1502,0.474,8,8,17,18,11,11,13,16,9,8,7,6,15,12,11,15,9,8,15,Jaden Hardy,G,1
