GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GROUP_ID,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,GROUP_NAME,POSITION,Player_Count
On/Off Court,1610612743,DEN,Denver Nuggets,1631128,"Braun, Christian",On,76,49,27,0.645,1181.0,107.6,107.0,110.7,111.3,-3.2,-4.3,0.632,1.63,18.5,0.274,0.715,0.5,0.157,0.547,0.576,99.9,99.87,83.22,2454,0.485,2,3,17,11,7,11,7,8,11,10,9,17,11,15,12,10,9,8,8,Christian Braun,G,1
On/Off Court,1610612743,DEN,Denver Nuggets,1628971,"Brown, Bruce",On,80,53,27,0.663,2279.0,112.9,113.8,111.8,113.0,1.1,0.8,0.663,1.89,19.9,0.29,0.716,0.508,0.149,0.562,0.593,100.1,99.19,82.66,4708,0.516,1,1,17,6,3,6,12,6,5,7,6,6,9,9,8,6,6,11,6,Bruce Brown,G-F,1
On/Off Court,1610612743,DEN,Denver Nuggets,1628418,"Bryant, Thomas",On,18,12,6,0.667,205.0,100.0,96.0,111.5,111.0,-11.4,-15.0,0.639,1.8,17.2,0.247,0.708,0.476,0.129,0.489,0.515,96.5,98.76,82.3,425,0.425,16,17,2,4,16,17,5,18,10,8,15,18,15,17,2,18,17,14,18,Thomas Bryant,C-F,1
On/Off Court,1610612743,DEN,Denver Nuggets,203484,"Caldwell-Pope, Kentavious",On,76,51,25,0.671,2381.0,120.1,121.4,110.8,111.5,9.4,9.8,0.691,2.33,22.0,0.287,0.741,0.521,0.136,0.593,0.622,101.5,100.61,83.84,4992,0.557,2,2,16,3,1,4,8,4,2,4,2,10,4,6,6,4,4,3,3,Kentavious Caldwell-Pope,G,1
On/Off Court,1610612743,DEN,Denver Nuggets,1628427,"Cancar, Vlatko",On,60,38,22,0.633,889.0,109.1,109.1,113.0,113.1,-3.9,-3.9,0.65,1.67,18.8,0.287,0.71,0.498,0.158,0.549,0.579,99.6,99.56,82.97,1847,0.486,8,8,12,13,9,8,13,7,9,9,8,11,14,16,13,9,8,9,7,Vlatko Cancar,F,1
On/Off Court,1610612743,DEN,Denver Nuggets,203932,"Gordon, Aaron",On,68,45,23,0.662,2055.0,121.7,123.0,110.0,110.9,11.6,12.1,0.679,2.34,21.9,0.297,0.737,0.526,0.135,0.601,0.626,101.1,100.16,83.47,4288,0.567,5,5,14,7,5,2,4,2,4,3,4,5,6,3,5,2,3,6,2,Aaron Gordon,F,1
On/Off Court,1610612743,DEN,Denver Nuggets,201145,"Green, Jeff",On,56,33,23,0.589,1091.0,106.6,107.1,114.5,115.0,-7.9,-8.0,0.626,1.59,17.9,0.281,0.715,0.501,0.155,0.53,0.565,99.8,99.38,82.81,2253,0.463,9,10,14,15,8,10,16,12,12,12,11,15,10,14,11,12,12,10,12,Jeff Green,F,1
On/Off Court,1610612743,DEN,Denver Nuggets,1630538,"Hyland, Bones",On,42,28,14,0.667,820.0,109.8,110.8,118.6,119.2,-8.8,-8.4,0.601,1.6,17.7,0.303,0.712,0.502,0.154,0.546,0.575,99.3,98.55,82.12,1683,0.452,12,11,6,4,10,7,18,14,13,11,12,4,13,12,10,11,10,15,15,Bones Hyland,G,1
On/Off Court,1610612743,DEN,Denver Nuggets,202704,"Jackson, Reggie",On,16,8,8,0.5,319.0,107.3,107.6,114.7,114.7,-7.3,-7.1,0.654,2.05,18.4,0.307,0.713,0.505,0.128,0.511,0.542,98.1,97.99,81.65,649,0.474,18,18,3,18,14,9,15,11,8,6,10,2,12,10,1,14,14,17,10,Reggie Jackson,G,1
On/Off Court,1610612743,DEN,Denver Nuggets,203999,"Jokic, Nikola",On,69,48,21,0.696,2323.0,122.7,124.2,110.8,111.6,11.9,12.5,0.71,2.43,22.9,0.288,0.749,0.529,0.137,0.61,0.637,101.4,100.42,83.68,4873,0.573,4,4,10,2,2,1,9,1,1,1,1,8,3,2,7,1,1,5,1,Nikola Jokic,C,1
On/Off Court,1610612743,DEN,Denver Nuggets,201599,"Jordan, DeAndre",On,39,23,16,0.59,586.0,107.5,107.0,115.4,115.4,-7.9,-8.4,0.592,1.42,17.6,0.284,0.704,0.502,0.169,0.552,0.58,99.9,100.16,83.47,1215,0.464,13,13,7,14,12,12,17,13,15,15,13,12,17,13,15,7,7,7,11,DeAndre Jordan,C,1
On/Off Court,1610612743,DEN,Denver Nuggets,1627750,"Murray, Jamal",On,65,43,22,0.662,2133.0,118.3,118.9,111.6,112.5,6.7,6.4,0.659,2.21,20.8,0.288,0.724,0.512,0.134,0.585,0.611,99.8,99.13,82.61,4413,0.541,6,6,12,8,4,5,11,5,6,5,5,7,8,8,3,5,5,12,5,Jamal Murray,G,1
On/Off Court,1610612743,DEN,Denver Nuggets,1630192,"Nnaji, Zeke",On,53,34,19,0.642,728.0,101.9,101.5,107.6,107.4,-5.7,-5.9,0.577,1.37,16.0,0.305,0.706,0.504,0.159,0.509,0.54,98.1,98.4,82.0,1488,0.456,10,9,9,12,11,15,2,10,18,16,16,3,16,11,14,16,15,16,13,Zeke Nnaji,F-C,1
