GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GROUP_ID,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,GROUP_NAME,POSITION,Player_Count
On/Off Court,1610612765,DET,Detroit Pistons,1628963,"Bagley III, Marvin",On,42,7,35,0.167,990.0,107.0,107.3,116.9,117.9,-9.9,-10.6,0.577,1.54,16.7,0.292,0.719,0.499,0.148,0.517,0.552,100.7,100.15,83.46,2062,0.44,11,12,12,14,11,14,17,17,12,9,10,10,3,6,12,13,17,15,17,Marvin Bagley III,F,1
On/Off Court,1610612765,DET,Detroit Pistons,1630180,"Bey, Saddiq",On,52,12,40,0.231,1500.0,109.0,110.3,117.1,118.1,-8.1,-7.8,0.57,1.55,16.1,0.286,0.701,0.486,0.141,0.52,0.566,103.3,102.22,85.18,3195,0.45,7,5,15,6,5,8,18,12,15,7,16,15,9,13,5,12,8,7,13,Saddiq Bey,F,1
On/Off Court,1610612765,DET,Detroit Pistons,1631205,"Boeheim, Buddy",On,10,2,8,0.2,90.0,106.6,105.9,104.6,103.2,2.0,2.7,0.575,1.56,16.4,0.301,0.75,0.524,0.145,0.503,0.548,98.6,99.57,82.98,186,0.489,20,15,3,10,20,18,2,3,13,6,14,8,1,1,7,20,21,16,6,Buddy Boeheim,F,1
On/Off Court,1610612765,DET,Detroit Pistons,202711,"Bogdanovic, Bojan",On,59,15,44,0.254,1893.0,109.6,111.3,118.1,119.5,-8.6,-8.2,0.587,1.56,16.9,0.288,0.703,0.491,0.148,0.526,0.571,102.6,101.18,84.32,3988,0.451,5,4,17,1,3,6,20,15,8,5,6,13,8,11,11,6,4,10,12,Bojan Bogdanovic,F,1
On/Off Court,1610612765,DET,Detroit Pistons,202692,"Burks, Alec",On,51,12,39,0.235,1122.0,113.5,112.9,114.0,113.9,-0.5,-1.0,0.569,1.76,16.7,0.269,0.707,0.485,0.128,0.546,0.587,102.9,103.25,86.04,2422,0.491,9,5,14,5,9,3,8,5,16,1,9,19,7,14,2,2,3,4,5,Alec Burks,G,1
On/Off Court,1610612765,DET,Detroit Pistons,1630595,"Cunningham, Cade",On,12,3,9,0.25,400.0,108.6,111.2,116.1,117.3,-7.5,-6.1,0.53,1.51,15.0,0.304,0.709,0.501,0.135,0.505,0.555,104.1,102.37,85.31,850,0.449,19,14,4,2,15,7,15,10,21,13,21,6,6,3,3,19,15,6,14,Cade Cunningham,G,1
On/Off Court,1610612765,DET,Detroit Pistons,1628977,"Diallo, Hamidou",On,56,12,44,0.214,996.0,109.5,108.9,109.8,109.5,-0.3,-0.6,0.55,1.46,15.9,0.292,0.711,0.5,0.147,0.529,0.57,102.7,103.05,85.88,2137,0.499,6,5,17,8,10,11,4,4,19,15,17,11,5,4,9,4,6,5,3,Hamidou Diallo,G,1
On/Off Court,1610612765,DET,Detroit Pistons,1631105,"Duren, Jalen",On,67,16,51,0.239,1670.0,107.1,108.0,115.4,116.2,-8.3,-8.3,0.583,1.46,16.3,0.313,0.696,0.499,0.155,0.511,0.555,101.1,100.27,83.56,3493,0.447,3,1,20,4,4,12,12,16,9,16,15,3,14,8,17,16,14,13,16,Jalen Duren,C,1
On/Off Court,1610612765,DET,Detroit Pistons,1630181,"Hampton, R.J.",On,21,2,19,0.095,389.0,106.5,106.4,117.7,118.2,-11.2,-11.8,0.557,1.38,15.7,0.311,0.65,0.473,0.155,0.507,0.548,99.3,99.12,82.6,799,0.418,15,15,8,18,16,17,19,19,18,18,18,4,20,19,19,18,20,19,20,R.J. Hampton,G,1
On/Off Court,1610612765,DET,Detroit Pistons,1630165,"Hayes, Killian",On,76,16,60,0.211,2154.0,105.4,106.7,116.9,117.6,-11.6,-10.9,0.593,1.52,16.9,0.288,0.701,0.486,0.153,0.514,0.551,101.2,100.24,83.53,4494,0.431,1,1,22,9,2,16,16,18,6,12,8,12,10,12,16,15,18,14,18,Killian Hayes,G,1
