GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GROUP_ID,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,GROUP_NAME,POSITION,Player_Count
On/Off Court,1610612744,GSW,Golden State Warriors,1631116,"Baldwin Jr., Patrick",On,31,15,16,0.484,226.0,102.6,100.8,114.6,113.2,-12.0,-12.3,0.754,1.55,19.6,0.243,0.745,0.482,0.175,0.541,0.567,101.1,102.65,85.55,487,0.427,13,13,6,15,14,17,15,16,2,15,12,14,2,16,15,16,17,14,16,Patrick Baldwin Jr.,F,1
On/Off Court,1610612744,GSW,Golden State Warriors,201939,"Curry, Stephen",On,56,30,26,0.536,1941.0,116.8,118.1,111.1,112.4,5.7,5.8,0.691,2.0,21.1,0.274,0.726,0.506,0.151,0.589,0.616,105.9,104.68,87.24,4244,0.53,10,9,9,11,5,2,11,5,11,7,6,10,8,8,5,3,3,6,5,Stephen Curry,G,1
On/Off Court,1610612744,GSW,Golden State Warriors,1628978,"DiVincenzo, Donte",On,72,42,30,0.583,1894.0,113.5,113.5,110.1,110.6,3.4,2.9,0.695,1.76,19.9,0.291,0.719,0.506,0.16,0.569,0.6,104.5,104.2,86.84,4115,0.514,4,3,14,4,6,8,4,8,10,8,8,5,11,7,10,9,8,7,9,Donte DiVincenzo,G,1
On/Off Court,1610612744,GSW,Golden State Warriors,203110,"Green, Draymond",On,73,41,32,0.562,2298.0,115.8,116.2,108.9,109.2,7.0,7.0,0.712,2.0,21.2,0.27,0.728,0.508,0.151,0.582,0.611,104.4,104.05,86.71,4979,0.54,3,4,16,7,2,5,3,4,6,5,4,12,7,4,6,5,4,9,4,Draymond Green,F,1
On/Off Court,1610612744,GSW,Golden State Warriors,203210,"Green, JaMychal",On,57,30,27,0.526,797.0,108.7,108.3,115.9,116.4,-7.2,-8.2,0.669,1.5,18.7,0.285,0.688,0.485,0.173,0.551,0.584,105.3,105.25,87.71,1741,0.459,9,9,12,12,12,15,17,15,14,16,16,6,17,15,14,15,15,4,15,JaMychal Green,F-C,1
On/Off Court,1610612744,GSW,Golden State Warriors,2738,"Iguodala, Andre",On,8,3,5,0.375,113.0,119.1,116.7,105.5,104.7,13.5,12.0,0.721,2.0,22.2,0.214,0.734,0.487,0.156,0.64,0.655,107.3,108.74,90.62,257,0.568,16,18,3,18,15,3,2,2,3,6,2,17,6,13,7,2,2,1,2,Andre Iguodala,G-F,1
On/Off Court,1610612744,GSW,Golden State Warriors,1629660,"Jerome, Ty",On,45,22,23,0.489,816.0,111.5,110.7,116.6,116.3,-5.2,-5.6,0.661,1.66,19.1,0.277,0.699,0.485,0.159,0.562,0.594,101.8,102.32,85.26,1741,0.474,11,11,8,14,11,13,16,14,16,11,13,9,14,14,9,12,12,17,14,Ty Jerome,G-F,1
On/Off Court,1610612744,GSW,Golden State Warriors,1630228,"Kuminga, Jonathan",On,67,38,29,0.567,1394.0,111.6,111.7,112.2,113.0,-0.6,-1.4,0.68,1.64,19.7,0.267,0.698,0.488,0.167,0.574,0.606,103.6,103.18,85.99,2992,0.496,6,5,13,6,7,11,14,13,13,13,9,13,16,12,12,6,6,13,13,Jonathan Kuminga,F,1
On/Off Court,1610612744,GSW,Golden State Warriors,1630237,"Lamb, Anthony",On,62,36,26,0.581,1195.0,112.2,112.5,110.7,110.8,1.5,1.7,0.696,1.66,19.6,0.292,0.716,0.507,0.167,0.564,0.599,102.8,102.55,85.45,2548,0.503,8,8,9,5,8,9,5,10,9,12,11,4,12,6,13,11,10,16,10,Anthony Lamb,F,1
On/Off Court,1610612744,GSW,Golden State Warriors,1626172,"Looney, Kevon",On,82,44,38,0.537,1958.0,116.9,116.4,111.5,112.0,5.4,4.4,0.691,2.08,20.4,0.299,0.736,0.52,0.141,0.572,0.6,102.7,102.64,85.53,4174,0.523,1,1,17,9,4,4,10,7,12,3,7,3,5,3,2,8,9,15,6,Kevon Looney,F,1
