GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GROUP_ID,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,GROUP_NAME,POSITION,Player_Count
On/Off Court,1610612745,HOU,Houston Rockets,1630528,"Christopher, Josh",On,64,16,48,0.25,786.0,105.1,105.4,119.5,119.3,-14.4,-13.9,0.522,1.25,14.8,0.348,0.704,0.516,0.164,0.497,0.537,100.3,100.28,83.56,1644,0.415,7,8,12,11,10,14,14,18,17,15,15,6,16,14,13,13,13,13,18,Josh Christopher,G,1
On/Off Court,1610612745,HOU,Houston Rockets,1630620,"Days, Darius",On,4,0,4,0.0,25.0,108.9,109.4,105.7,109.6,3.1,-0.2,0.65,2.17,17.3,0.345,0.727,0.51,0.113,0.48,0.534,103.0,100.87,84.06,53,0.464,18,17,1,17,18,6,4,3,2,1,2,8,11,16,1,18,15,8,9,Darius Days,F,1
On/Off Court,1610612745,HOU,Houston Rockets,1631106,"Eason, Tari",On,82,22,60,0.268,1767.0,108.3,108.6,113.3,113.4,-5.0,-4.8,0.544,1.29,15.2,0.376,0.734,0.546,0.165,0.505,0.549,102.1,101.96,84.97,3765,0.472,1,1,17,4,6,8,7,5,12,14,14,4,7,3,14,10,10,4,4,Tari Eason,F,1
On/Off Court,1610612745,HOU,Houston Rockets,1628981,"Fernando, Bruno",On,31,9,22,0.29,364.0,105.0,106.1,113.4,115.3,-8.4,-9.3,0.528,1.12,14.6,0.378,0.712,0.545,0.181,0.502,0.543,101.0,99.68,83.07,755,0.443,12,12,4,2,14,13,10,15,16,18,18,3,15,4,18,11,11,17,15,Bruno Fernando,F-C,1
On/Off Court,1610612745,HOU,Houston Rockets,1630586,"Garuba, Usman",On,75,21,54,0.28,970.0,103.4,103.3,115.9,115.5,-12.5,-12.2,0.563,1.19,14.7,0.381,0.701,0.531,0.172,0.487,0.531,102.2,102.41,85.34,2070,0.426,5,3,13,3,8,17,11,17,8,17,16,2,18,8,16,16,16,1,17,Usman Garuba,F,1
On/Off Court,1610612745,HOU,Houston Rockets,201569,"Gordon, Eric",On,47,12,35,0.255,1418.0,106.8,107.9,115.4,115.6,-8.6,-7.7,0.548,1.33,15.7,0.326,0.73,0.525,0.162,0.523,0.56,103.0,102.4,85.33,3037,0.467,10,10,9,10,7,9,12,9,10,12,11,14,9,12,12,4,7,2,7,Eric Gordon,G,1
On/Off Court,1610612745,HOU,Houston Rockets,1630224,"Green, Jalen",On,76,20,56,0.263,2602.0,109.2,111.2,119.1,120.0,-9.9,-8.7,0.545,1.4,16.0,0.337,0.73,0.528,0.159,0.527,0.563,102.0,100.64,83.87,5469,0.454,4,5,14,8,1,3,16,14,11,9,9,10,8,10,9,3,4,10,12,Jalen Green,G,1
On/Off Court,1610612745,HOU,Houston Rockets,1631309,"Hudgins, Trevor",On,5,0,5,0.0,28.0,107.3,105.3,98.2,98.3,9.1,7.0,0.684,1.86,17.3,0.172,0.739,0.423,0.123,0.5,0.567,96.5,97.41,81.18,57,0.481,17,17,2,17,17,15,2,2,1,3,2,18,6,18,3,12,2,18,3,Trevor Hudgins,G,1
On/Off Court,1610612745,HOU,Houston Rockets,1626163,"Kaminsky, Frank",On,10,2,8,0.2,59.0,109.5,106.5,113.2,110.6,-3.7,-4.1,0.633,2.07,18.3,0.242,0.782,0.496,0.122,0.518,0.552,97.9,100.37,83.64,123,0.465,16,16,3,15,16,11,5,4,3,2,1,17,2,17,2,7,9,11,8,Frank Kaminsky,F-C,1
On/Off Court,1610612745,HOU,Houston Rockets,1626246,"Marjanovic, Boban",On,31,7,24,0.226,171.0,115.8,114.6,98.6,96.1,17.3,18.5,0.542,1.71,17.1,0.315,0.797,0.564,0.137,0.56,0.593,98.4,100.17,83.48,357,0.596,12,13,5,13,15,1,1,1,14,4,4,16,1,1,4,1,1,14,1,Boban Marjanovic,C,1
