GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GROUP_ID,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,GROUP_NAME,POSITION,Player_Count
On/Off Court,1610612746,LAC,LA Clippers,201587,"Batum, Nicolas",On,78,44,34,0.564,1710.0,114.8,114.5,110.1,110.0,4.7,4.5,0.592,1.72,17.3,0.284,0.714,0.502,0.137,0.554,0.596,101.1,101.32,84.43,3609,0.52,2,1,20,8,6,7,4,4,7,10,12,10,15,12,8,10,7,10,4,Nicolas Batum,G-F,1
On/Off Court,1610612746,LAC,LA Clippers,1630527,"Boston Jr., Brandon",On,22,9,13,0.409,248.0,105.3,106.8,115.8,114.5,-10.5,-7.7,0.573,1.66,15.8,0.347,0.74,0.521,0.134,0.479,0.519,102.5,102.34,85.28,528,0.429,15,18,8,20,18,18,19,20,14,14,20,4,9,4,5,20,21,4,21,Brandon Boston Jr.,G,1
On/Off Court,1610612746,LAC,LA Clippers,1629650,"Brown, Moses",On,34,16,18,0.471,288.0,112.6,113.0,109.7,108.5,3.0,4.5,0.562,1.73,15.8,0.393,0.721,0.549,0.132,0.514,0.545,101.7,102.01,85.01,614,0.509,12,12,10,16,16,10,3,5,19,9,19,1,11,2,2,17,16,6,8,Moses Brown,C,1
On/Off Court,1610612746,LAC,LA Clippers,1629599,"Coffey, Amir",On,50,26,24,0.52,625.0,104.4,104.2,113.4,113.1,-9.1,-8.9,0.586,1.48,16.2,0.308,0.706,0.505,0.15,0.507,0.543,101.0,101.22,84.35,1320,0.453,9,9,13,13,13,20,13,21,10,19,18,5,17,11,18,18,17,12,20,Amir Coffey,G-F,1
On/Off Court,1610612746,LAC,LA Clippers,203496,"Covington, Robert",On,48,20,28,0.417,779.0,109.0,109.2,109.9,110.2,-1.0,-1.0,0.59,1.7,16.9,0.293,0.695,0.495,0.136,0.533,0.566,101.1,100.85,84.04,1640,0.497,10,10,16,19,9,16,5,14,8,12,13,7,19,16,7,14,14,13,11,Robert Covington,F,1
On/Off Court,1610612746,LAC,LA Clippers,1631217,"Diabate, Moussa",On,22,10,12,0.455,195.0,106.9,109.2,116.1,112.4,-9.2,-3.2,0.559,1.5,15.3,0.374,0.754,0.542,0.145,0.489,0.532,101.8,102.39,85.32,413,0.455,15,17,7,17,19,17,10,17,21,18,21,2,4,3,13,19,19,2,19,Moussa Diabate,F,1
On/Off Court,1610612746,LAC,LA Clippers,202331,"George, Paul",On,56,32,24,0.571,1939.0,115.2,116.5,111.5,112.5,3.7,4.0,0.572,1.71,17.8,0.244,0.749,0.506,0.141,0.573,0.61,99.4,98.46,82.05,3976,0.515,6,6,13,3,2,4,11,6,15,11,5,19,6,9,11,4,4,18,6,Paul George,F,1
On/Off Court,1610612746,LAC,LA Clippers,201569,"Gordon, Eric",On,22,13,9,0.591,547.0,116.8,117.4,117.2,118.3,-0.5,-0.9,0.626,1.79,18.8,0.267,0.715,0.499,0.145,0.573,0.618,102.3,101.55,84.63,1161,0.501,15,14,3,2,14,3,21,13,4,4,4,12,13,14,12,3,1,8,10,Eric Gordon,G,1
On/Off Court,1610612746,LAC,LA Clippers,1630538,"Hyland, Bones",On,14,8,6,0.571,265.0,117.7,118.3,115.1,114.4,2.5,3.9,0.661,2.11,20.1,0.289,0.687,0.489,0.135,0.582,0.614,101.3,101.33,84.44,557,0.518,19,19,2,3,17,1,18,7,1,1,1,8,21,19,6,1,2,9,5,Bones Hyland,G,1
On/Off Court,1610612746,LAC,LA Clippers,202704,"Jackson, Reggie",On,52,28,24,0.538,1338.0,109.1,110.0,110.3,111.0,-1.1,-1.0,0.561,1.48,16.7,0.267,0.744,0.51,0.153,0.544,0.578,99.3,98.59,82.16,2748,0.493,7,8,13,10,8,13,6,15,20,20,14,13,8,7,20,12,12,17,14,Reggie Jackson,G,1
