GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GROUP_ID,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,GROUP_NAME,POSITION,Player_Count
On/Off Court,1610612747,LAL,Los Angeles Lakers,1628964,"Bamba, Mo",On,9,7,2,0.778,88.0,101.5,100.5,105.4,104.7,-3.9,-4.2,0.657,1.91,17.2,0.223,0.694,0.467,0.122,0.491,0.521,102.8,103.63,86.36,189,0.465,20,18,1,1,20,22,3,19,1,4,15,21,22,22,3,22,23,10,19,Mo Bamba,C,1
On/Off Court,1610612747,LAL,Los Angeles Lakers,1627736,"Beasley, Malik",On,26,18,8,0.692,621.0,108.4,108.9,110.9,111.1,-2.6,-2.2,0.615,1.75,17.8,0.261,0.756,0.51,0.139,0.532,0.566,103.6,103.21,86.01,1341,0.499,15,13,8,4,13,14,12,16,3,11,8,15,2,7,18,17,17,14,11,Malik Beasley,G,1
On/Off Court,1610612747,LAL,Los Angeles Lakers,201976,"Beverley, Patrick",On,45,21,24,0.467,1211.0,110.5,111.4,113.9,114.3,-3.4,-2.9,0.608,1.84,18.1,0.25,0.735,0.494,0.134,0.539,0.578,102.9,102.23,85.19,2573,0.493,9,9,16,17,8,10,20,18,8,7,6,16,8,12,12,11,10,20,14,Patrick Beverley,G,1
On/Off Court,1610612747,LAL,Los Angeles Lakers,1628972,"Brown Jr., Troy",On,76,40,36,0.526,1860.0,111.2,112.0,112.1,112.5,-0.8,-0.5,0.587,1.8,17.6,0.271,0.718,0.501,0.133,0.537,0.577,102.7,102.11,85.1,3958,0.506,1,1,24,12,4,9,16,10,12,8,12,11,15,10,10,12,12,21,8,Troy Brown Jr.,G-F,1
On/Off Court,1610612747,LAL,Los Angeles Lakers,1628425,"Brown, Sterling",On,4,2,2,0.5,24.0,107.1,106.8,108.4,106.3,-1.3,0.4,0.385,1.43,13.2,0.212,0.697,0.455,0.119,0.537,0.535,118.8,120.18,100.15,59,0.475,24,22,1,14,24,17,4,8,23,22,22,22,21,24,2,13,21,1,17,Sterling Brown,G-F,1
On/Off Court,1610612747,LAL,Los Angeles Lakers,1628418,"Bryant, Thomas",On,41,21,20,0.512,876.0,113.3,114.6,116.1,116.9,-2.8,-2.3,0.574,1.93,18.4,0.224,0.72,0.482,0.128,0.565,0.598,103.8,102.89,85.74,1882,0.496,10,9,13,13,10,6,24,17,16,3,5,20,14,18,6,4,5,16,12,Thomas Bryant,C-F,1
On/Off Court,1610612747,LAL,Los Angeles Lakers,1631108,"Christie, Max",On,41,19,22,0.463,512.0,106.4,106.1,114.6,113.2,-8.2,-7.1,0.519,1.61,15.0,0.285,0.708,0.491,0.126,0.502,0.542,102.8,103.55,86.3,1106,0.463,10,12,15,18,16,19,19,20,20,18,20,6,19,14,5,21,20,11,20,Max Christie,G,1
On/Off Court,1610612747,LAL,Los Angeles Lakers,203076,"Davis, Anthony",On,56,31,25,0.554,1905.0,112.9,114.3,108.3,109.5,4.6,4.8,0.61,1.89,18.4,0.28,0.744,0.519,0.135,0.542,0.583,103.6,102.39,85.32,4067,0.535,5,5,17,8,3,7,9,3,5,5,3,8,6,3,14,9,9,19,3,Anthony Davis,F-C,1
On/Off Court,1610612747,LAL,Los Angeles Lakers,1629117,"Gabriel, Wenyen",On,68,37,31,0.544,1024.0,111.9,111.2,111.7,111.4,0.2,-0.2,0.564,1.68,16.8,0.291,0.727,0.516,0.136,0.539,0.577,103.5,103.95,86.62,2205,0.511,2,2,23,11,9,12,13,9,17,17,16,3,10,6,15,10,11,8,7,Wenyen Gabriel,F,1
On/Off Court,1610612747,LAL,Los Angeles Lakers,1629060,"Hachimura, Rui",On,33,21,12,0.636,738.0,111.4,111.0,107.6,108.8,3.7,2.2,0.585,1.8,17.3,0.283,0.745,0.526,0.131,0.533,0.574,103.9,103.49,86.24,1594,0.524,13,9,10,6,11,13,7,7,14,9,14,7,5,2,8,16,15,12,5,Rui Hachimura,F,1
