GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GROUP_ID,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,GROUP_NAME,POSITION,Player_Count
On/Off Court,1610612763,MEM,Memphis Grizzlies,203500,"Adams, Steven",On,42,28,14,0.667,1133.0,115.5,118.7,107.4,109.0,8.1,9.7,0.545,1.79,16.9,0.376,0.749,0.56,0.135,0.541,0.568,103.4,101.29,84.41,2396,0.547,11,11,7,2,10,2,10,2,19,11,18,1,1,1,12,5,9,16,2,Steven Adams,C,1
On/Off Court,1610612763,MEM,Memphis Grizzlies,1630583,"Aldama, Santi",On,77,47,30,0.61,1682.0,111.5,112.7,109.9,110.2,1.6,2.6,0.587,1.89,17.8,0.292,0.72,0.504,0.131,0.54,0.57,103.7,102.96,85.8,3607,0.511,2,2,19,14,6,9,12,8,14,8,13,11,4,9,8,6,7,6,8,Santi Aldama,F-C,1
On/Off Court,1610612763,MEM,Memphis Grizzlies,1630217,"Bane, Desmond",On,58,38,20,0.655,1841.0,115.7,116.4,106.3,107.4,9.3,9.0,0.618,2.13,18.9,0.297,0.706,0.506,0.125,0.554,0.585,104.1,103.27,86.06,3962,0.544,9,9,10,5,4,3,4,4,10,3,5,8,8,8,3,2,2,4,3,Desmond Bane,G,1
On/Off Court,1610612763,MEM,Memphis Grizzlies,1628415,"Brooks, Dillon",On,73,46,27,0.63,2214.0,111.3,113.4,107.3,108.5,4.0,4.9,0.575,1.92,17.6,0.298,0.732,0.515,0.128,0.535,0.564,103.4,101.92,84.93,4690,0.517,3,3,16,8,1,8,9,7,16,7,14,7,2,4,6,10,10,15,7,Dillon Brooks,G-F,1
On/Off Court,1610612763,MEM,Memphis Grizzlies,1631113,"Chandler, Kennedy",On,36,22,14,0.611,282.0,102.0,103.0,110.2,108.4,-8.3,-5.4,0.631,1.47,17.9,0.35,0.695,0.514,0.174,0.508,0.529,103.0,103.33,86.11,602,0.465,13,12,7,13,15,16,7,15,6,18,12,2,13,5,19,17,16,2,15,Kennedy Chandler,G,1
On/Off Court,1610612763,MEM,Memphis Grizzlies,1629634,"Clarke, Brandon",On,56,32,24,0.571,1090.0,108.5,109.0,107.1,108.3,1.4,0.7,0.621,1.86,18.2,0.271,0.686,0.485,0.135,0.527,0.561,104.9,104.0,86.67,2348,0.504,10,10,14,15,11,12,6,11,8,9,10,15,17,13,11,13,13,1,11,Brandon Clarke,F,1
On/Off Court,1610612763,MEM,Memphis Grizzlies,1631367,"Gilyard, Jacob",On,1,0,1,0.0,41.0,102.4,101.1,110.9,116.1,-8.5,-14.9,0.647,2.75,18.5,0.208,0.69,0.433,0.092,0.475,0.506,104.1,102.39,85.33,87,0.436,19,19,1,19,19,18,18,19,4,1,8,18,16,19,1,18,18,14,17,Jacob Gilyard,G,1
On/Off Court,1610612763,MEM,Memphis Grizzlies,201980,"Green, Danny",On,3,1,2,0.333,43.0,105.2,102.2,97.7,105.6,7.6,-3.4,0.727,1.6,19.8,0.205,0.604,0.435,0.169,0.535,0.572,100.8,98.21,81.85,89,0.506,18,18,2,18,18,17,2,13,1,16,1,19,19,18,18,9,5,19,10,Danny Green,G,1
On/Off Court,1610612763,MEM,Memphis Grizzlies,1628991,"Jackson Jr., Jaren",On,63,41,22,0.651,1788.0,115.8,116.4,105.3,106.6,10.4,9.8,0.601,2.08,18.5,0.295,0.715,0.511,0.125,0.553,0.584,104.2,103.3,86.09,3842,0.551,6,6,13,6,5,4,3,1,11,5,7,10,5,6,4,3,3,3,1,Jaren Jackson Jr.,F-C,1
On/Off Court,1610612763,MEM,Memphis Grizzlies,1626145,"Jones, Tyus",On,80,51,29,0.638,1939.0,112.9,113.6,110.1,111.6,2.8,2.0,0.623,2.11,19.0,0.276,0.692,0.484,0.126,0.55,0.576,103.5,102.41,85.34,4144,0.51,1,1,18,7,3,7,13,9,7,4,4,14,14,14,5,4,4,13,9,Tyus Jones,G,1
On/Off Court,1610612763,MEM,Memphis Grizzlies,1628379,"Kennard, Luke",On,24,17,7,0.708,590.0,122.3,122.3,113.9,113.1,8.4,9.2,0.581,2.5,19.2,0.261,0.676,0.473,0.106,0.59,0.615,100.7,101.04,84.2,1243,0.531,15,15,3,1,12,1,16,3,15,2,3,17,18,16,2,1,1,17,6,Luke Kennard,G,1
On/Off Court,1610612763,MEM,Memphis Grizzlies,1629723,"Konchar, John",On,72,45,27,0.625,1494.0,113.0,114.6,106.1,107.5,6.9,7.0,0.572,1.84,17.4,0.325,0.713,0.519,0.133,0.538,0.569,104.2,102.79,85.66,3192,0.537,4,4,16,11,7,6,5,6,17,10,15,4,6,3,9,7,8,8,4,John Konchar,G,1
On/Off Court,1610612763,MEM,Memphis Grizzlies,1631222,"LaRavia, Jake",On,35,22,13,0.629,414.0,107.4,106.4,114.1,113.9,-6.7,-7.6,0.59,1.55,16.9,0.286,0.696,0.493,0.15,0.525,0.556,101.9,102.42,85.35,879,0.459,14,12,6,9,14,14,17,16,13,17,17,13,12,12,15,14,14,12,16,Jake LaRavia,F,1
On/Off Court,1610612763,MEM,Memphis Grizzlies,1631254,"Lofton Jr., Kenneth",On,24,15,9,0.625,176.0,103.5,103.3,117.6,116.7,-14.2,-13.4,0.687,1.72,19.2,0.349,0.691,0.504,0.163,0.511,0.527,99.5,99.98,83.32,367,0.43,15,16,5,11,16,15,19,17,2,15,2,3,15,10,17,16,17,18,18,Kenneth Lofton Jr.,F,1
On/Off Court,1610612763,MEM,Memphis Grizzlies,1629630,"Morant, Ja",On,61,40,21,0.656,1948.0,113.2,115.8,107.0,108.5,6.2,7.3,0.565,1.79,17.1,0.323,0.727,0.526,0.134,0.534,0.57,104.4,102.51,85.43,4160,0.537,7,7,11,3,2,5,8,5,18,12,16,6,3,2,10,11,6,11,5,Ja Morant,G,1
On/Off Court,1610612763,MEM,Memphis Grizzlies,1631223,"Roddy, David",On,70,44,26,0.629,1259.0,110.3,110.6,111.6,112.5,-1.3,-1.9,0.618,1.74,18.0,0.324,0.701,0.511,0.146,0.531,0.562,103.2,102.6,85.5,2686,0.497,5,5,15,9,8,11,15,12,9,14,11,5,11,7,13,12,12,9,12,David Roddy,F,1
On/Off Court,1610612763,MEM,Memphis Grizzlies,1630214,"Tillman, Xavier",On,61,40,21,0.656,1180.0,109.7,110.9,109.3,110.1,0.4,0.7,0.601,1.96,18.4,0.263,0.703,0.477,0.13,0.537,0.563,104.1,103.19,85.99,2528,0.495,7,7,11,3,9,10,11,10,12,6,9,16,9,15,7,8,11,5,13,Xavier Tillman,F,1
On/Off Court,1610612763,MEM,Memphis Grizzlies,1631246,"Williams Jr., Vince",On,15,7,8,0.467,105.0,88.3,89.2,105.6,104.0,-17.4,-14.8,0.649,1.39,16.1,0.288,0.707,0.46,0.161,0.425,0.455,102.4,102.57,85.48,223,0.377,17,17,4,17,17,19,1,18,3,19,19,12,7,17,16,19,19,10,19,Vince Williams Jr.,G,1
On/Off Court,1610612763,MEM,Memphis Grizzlies,1630533,"Williams, Ziaire",On,37,21,16,0.568,561.0,106.6,106.9,110.1,112.2,-3.6,-5.2,0.639,1.75,18.7,0.296,0.703,0.503,0.15,0.525,0.555,103.9,102.8,85.67,1195,0.484,12,14,9,16,13,13,14,14,5,13,6,9,10,11,14,15,15,7,14,Ziaire Williams,F,1
