GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GROUP_ID,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,GROUP_NAME,POSITION,Player_Count
On/Off Court,1610612748,MIA,Miami Heat,1628389,"Adebayo, Bam",On,75,40,35,0.533,2598.0,111.8,113.0,110.0,111.2,1.8,1.8,0.609,1.88,18.2,0.265,0.74,0.5,0.133,0.54,0.582,98.1,97.04,80.87,5262,0.513,2,2,19,13,1,5,7,5,11,6,3,13,7,6,8,4,5,18,4,Bam Adebayo,C-F,1
On/Off Court,1610612748,MIA,Miami Heat,1631123,"Bouyea, Jamaree",On,4,2,2,0.5,65.0,105.2,105.5,123.5,124.0,-18.2,-18.5,0.66,1.55,17.5,0.317,0.755,0.522,0.157,0.524,0.571,93.3,93.04,77.53,127,0.426,20,20,2,17,20,16,20,20,1,16,11,2,4,3,18,11,11,20,18,Jamaree Bouyea,G,1
On/Off Court,1610612748,MIA,Miami Heat,202710,"Butler, Jimmy",On,64,35,29,0.547,2138.0,113.7,114.9,112.4,113.7,1.4,1.2,0.589,1.84,17.5,0.282,0.731,0.499,0.131,0.535,0.584,98.1,97.02,80.85,4320,0.504,6,6,15,9,4,3,15,7,17,8,12,7,11,9,4,5,4,19,5,Jimmy Butler,F,1
On/Off Court,1610612748,MIA,Miami Heat,1631288,"Cain, Jamal",On,18,10,8,0.556,240.0,109.1,108.0,102.2,102.5,6.9,5.5,0.569,1.23,16.0,0.314,0.731,0.532,0.176,0.533,0.581,102.4,102.78,85.65,511,0.529,14,14,5,5,14,14,1,1,19,20,18,3,12,2,20,7,6,3,1,Jamal Cain,F,1
On/Off Court,1610612748,MIA,Miami Heat,203473,"Dedmon, Dewayne",On,30,17,13,0.567,350.0,99.8,98.5,109.1,108.9,-9.3,-10.4,0.609,1.44,15.8,0.244,0.72,0.473,0.146,0.479,0.528,102.2,102.91,85.76,739,0.424,12,12,9,4,13,20,3,17,10,19,19,19,15,18,16,20,18,2,19,Dewayne Dedmon,C,1
On/Off Court,1610612748,MIA,Miami Heat,2617,"Haslem, Udonis",On,7,4,3,0.571,72.0,104.2,103.9,116.5,115.7,-12.2,-11.8,0.537,1.61,14.4,0.247,0.623,0.416,0.118,0.482,0.525,103.3,103.83,86.52,153,0.396,18,18,3,3,18,18,18,19,20,15,20,17,20,20,1,19,19,1,20,Udonis Haslem,F,1
On/Off Court,1610612748,MIA,Miami Heat,1629639,"Herro, Tyler",On,67,37,30,0.552,2335.0,113.1,113.9,110.5,111.3,2.6,2.7,0.603,1.89,18.1,0.269,0.74,0.5,0.132,0.545,0.586,97.9,97.15,80.95,4746,0.513,5,4,16,7,2,4,9,4,13,5,5,12,6,7,6,3,3,16,3,Tyler Herro,G,1
On/Off Court,1610612748,MIA,Miami Heat,1629312,"Highsmith, Haywood",On,54,28,26,0.519,969.0,105.2,104.8,108.0,110.0,-2.8,-5.2,0.589,1.62,16.3,0.282,0.719,0.494,0.138,0.499,0.54,99.0,98.29,81.91,1985,0.472,8,8,14,16,9,17,5,15,16,14,16,8,16,15,10,18,17,9,15,Haywood Highsmith,F,1
On/Off Court,1610612748,MIA,Miami Heat,1631107,"Jovic, Nikola",On,15,7,8,0.467,204.0,106.5,105.7,108.7,109.2,-2.2,-3.5,0.65,1.86,18.1,0.236,0.692,0.45,0.133,0.521,0.557,99.0,99.19,82.66,422,0.472,15,15,5,18,16,15,4,12,3,7,6,20,19,19,7,15,16,5,14,Nikola Jovic,F,1
On/Off Court,1610612748,MIA,Miami Heat,201567,"Love, Kevin",On,21,11,10,0.524,419.0,115.3,116.2,113.1,112.4,2.2,3.8,0.628,1.9,19.2,0.264,0.765,0.516,0.14,0.564,0.606,98.1,98.04,81.7,852,0.522,13,13,8,15,12,2,12,2,5,4,1,14,1,5,12,1,1,12,2,Kevin Love,F-C,1
On/Off Court,1610612748,MIA,Miami Heat,200768,"Lowry, Kyle",On,55,30,25,0.545,1718.0,110.1,112.4,109.3,111.3,0.7,1.1,0.618,1.92,18.0,0.277,0.737,0.498,0.13,0.523,0.568,99.0,97.13,80.94,3483,0.501,7,7,13,10,7,6,8,8,9,3,8,9,8,10,3,12,12,17,7,Kyle Lowry,G,1
