GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GROUP_ID,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,GROUP_NAME,POSITION,Player_Count
On/Off Court,1610612749,MIL,Milwaukee Bucks,1628960,"Allen, Grayson",On,72,53,19,0.736,1972.0,113.8,113.9,108.8,109.1,5.1,4.9,0.609,1.83,18.4,0.266,0.761,0.521,0.139,0.563,0.592,102.7,102.56,85.47,4224,0.534,3,3,18,5,4,5,9,5,9,6,3,20,2,5,8,6,6,16,5,Grayson Allen,G,1
On/Off Court,1610612749,MIL,Milwaukee Bucks,203507,"Antetokounmpo, Giannis",On,63,47,16,0.746,2024.0,115.9,116.4,109.0,109.2,6.9,7.2,0.601,1.88,18.3,0.288,0.756,0.531,0.135,0.568,0.596,103.9,103.63,86.36,4380,0.546,6,5,14,4,3,2,10,2,14,4,6,9,4,2,6,2,4,8,3,Giannis Antetokounmpo,F,1
On/Off Court,1610612749,MIL,Milwaukee Bucks,203648,"Antetokounmpo, Thanasis",On,37,25,12,0.676,206.0,99.4,93.6,122.7,120.1,-23.2,-26.6,0.629,1.1,16.0,0.24,0.721,0.485,0.19,0.526,0.559,100.5,104.63,87.19,452,0.396,12,13,10,16,17,21,18,21,4,21,19,21,17,21,21,18,18,3,21,Thanasis Antetokounmpo,F,1
On/Off Court,1610612749,MIL,Milwaukee Bucks,1630699,"Beauchamp, MarJon",On,52,34,18,0.654,701.0,107.4,105.8,113.3,112.9,-6.0,-7.2,0.61,1.46,16.9,0.31,0.726,0.515,0.16,0.529,0.557,102.1,103.07,85.89,1510,0.473,8,9,16,19,11,16,17,16,8,16,17,3,14,10,17,17,19,11,15,MarJon Beauchamp,F,1
On/Off Court,1610612749,MIL,Milwaukee Bucks,1628975,"Carter, Jevon",On,81,57,24,0.704,1812.0,110.4,109.2,107.2,107.2,3.1,1.9,0.604,1.72,17.6,0.282,0.74,0.516,0.142,0.546,0.573,102.2,102.73,85.61,3872,0.516,1,1,21,11,6,12,4,9,10,11,12,13,8,9,10,13,14,15,10,Jevon Carter,G,1
On/Off Court,1610612749,MIL,Milwaukee Bucks,1626192,"Connaughton, Pat",On,61,43,18,0.705,1443.0,114.9,113.3,109.6,109.9,5.3,3.4,0.596,1.84,17.8,0.281,0.732,0.515,0.134,0.563,0.589,102.9,103.42,86.18,3121,0.527,7,7,16,10,7,7,11,6,18,5,11,15,12,12,3,7,8,9,7,Pat Connaughton,G,1
On/Off Court,1610612749,MIL,Milwaukee Bucks,203109,"Crowder, Jae",On,18,13,5,0.722,340.0,112.2,111.0,109.7,111.8,2.5,-0.8,0.597,1.73,17.9,0.3,0.693,0.501,0.144,0.558,0.581,105.1,104.63,87.19,743,0.508,17,17,4,7,15,10,12,12,17,10,9,6,21,19,13,11,11,4,11,Jae Crowder,F,1
On/Off Court,1610612749,MIL,Milwaukee Bucks,201609,"Dragic, Goran",On,7,4,3,0.571,83.0,112.6,108.7,127.7,127.0,-15.2,-18.3,0.731,1.69,18.9,0.3,0.72,0.491,0.158,0.561,0.593,102.6,104.77,87.31,184,0.429,20,20,1,20,21,13,21,19,1,12,1,5,19,20,15,9,5,2,19,Goran Dragic,G,1
On/Off Court,1610612749,MIL,Milwaukee Bucks,1631260,"Green, AJ",On,35,27,8,0.771,345.0,110.1,107.9,113.9,112.8,-3.8,-4.9,0.636,1.52,17.9,0.301,0.722,0.513,0.164,0.564,0.58,101.4,102.9,85.75,744,0.477,13,11,7,1,14,14,15,14,2,15,10,4,16,13,18,5,12,12,14,AJ Green,G,1
On/Off Court,1610612749,MIL,Milwaukee Bucks,201588,"Hill, George",On,35,24,11,0.686,667.0,107.7,106.8,108.0,106.6,-0.3,0.2,0.6,1.65,16.7,0.282,0.729,0.509,0.138,0.522,0.56,100.4,101.46,84.55,1417,0.52,13,15,9,14,12,15,3,10,15,14,18,12,13,15,7,19,15,19,9,George Hill,G,1
