GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GROUP_ID,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,GROUP_NAME,POSITION,Player_Count
On/Off Court,1610612750,MIN,Minnesota Timberwolves,1629638,"Alexander-Walker, Nickeil",On,23,11,12,0.478,356.0,110.2,109.6,113.3,113.3,-3.1,-3.7,0.687,2.11,20.2,0.248,0.686,0.467,0.134,0.556,0.579,103.7,104.01,86.68,769,0.501,17,16,3,16,13,15,13,15,2,2,1,18,13,16,3,12,17,11,12,Nickeil Alexander-Walker,G,1
On/Off Court,1610612750,MIN,Minnesota Timberwolves,203937,"Anderson, Kyle",On,69,36,33,0.522,1957.0,113.0,113.9,111.0,111.7,2.0,2.3,0.632,1.87,19.3,0.249,0.7,0.481,0.142,0.569,0.6,102.4,101.66,84.72,4143,0.522,4,3,16,6,4,5,8,4,7,5,4,17,9,14,7,4,5,16,4,Kyle Anderson,F-G,1
On/Off Court,1610612750,MIN,Minnesota Timberwolves,201144,"Conley, Mike",On,24,12,12,0.5,753.0,113.7,115.3,112.8,113.7,1.0,1.5,0.632,2.0,19.3,0.267,0.736,0.502,0.134,0.564,0.59,101.1,100.04,83.37,1572,0.512,16,15,3,11,11,4,15,9,6,4,5,6,2,3,4,7,11,20,5,Mike Conley,G,1
On/Off Court,1610612750,MIN,Minnesota Timberwolves,1630162,"Edwards, Anthony",On,79,40,39,0.506,2841.0,111.7,113.8,110.5,111.9,1.2,1.9,0.598,1.7,18.4,0.258,0.704,0.487,0.148,0.562,0.593,103.4,101.77,84.81,6016,0.507,1,2,20,10,1,6,10,7,13,12,10,10,8,9,11,8,9,15,9,Anthony Edwards,G,1
On/Off Court,1610612750,MIN,Minnesota Timberwolves,1627854,"Forbes, Bryn",On,25,9,16,0.36,268.0,108.8,107.8,115.9,116.2,-7.1,-8.5,0.569,1.49,16.4,0.269,0.693,0.482,0.148,0.533,0.575,103.5,103.9,86.58,580,0.461,15,18,9,20,15,18,18,18,18,17,17,5,11,10,12,18,18,12,18,Bryn Forbes,G,1
On/Off Court,1610612750,MIN,Minnesota Timberwolves,1630568,"Garza, Luka",On,28,15,13,0.536,243.0,121.8,121.4,120.6,119.4,1.2,2.0,0.584,2.07,18.2,0.328,0.671,0.493,0.123,0.578,0.616,105.7,106.48,88.74,543,0.503,14,13,6,4,16,1,19,6,14,3,12,2,18,8,2,3,3,5,11,Luka Garza,C,1
On/Off Court,1610612750,MIN,Minnesota Timberwolves,203497,"Gobert, Rudy",On,70,34,36,0.486,2148.0,109.4,110.8,109.4,110.3,0.0,0.4,0.598,1.56,18.1,0.283,0.718,0.508,0.16,0.552,0.582,101.3,100.29,83.58,4477,0.509,3,4,17,14,3,13,4,11,12,15,14,3,5,1,18,14,16,19,7,Rudy Gobert,C,1
On/Off Court,1610612750,MIN,Minnesota Timberwolves,1630233,"Knight, Nathan",On,38,19,19,0.5,291.0,110.9,109.6,112.6,111.9,-1.7,-2.3,0.565,1.51,16.1,0.257,0.675,0.46,0.142,0.542,0.587,105.3,106.24,88.53,646,0.48,11,11,10,11,14,16,9,14,19,16,19,12,15,18,9,17,12,7,15,Nathan Knight,F-C,1
On/Off Court,1610612750,MIN,Minnesota Timberwolves,1630639,"Lawson, A.J.",On,1,1,0,1.0,2.0,40.0,40.0,131.6,140.0,-91.6,-100.0,1.0,1.0,14.3,0.333,0.667,0.5,0.2,0.25,0.25,140.2,135.85,113.21,5,0.0,20,20,1,1,20,20,20,20,1,20,20,1,19,5,20,20,20,1,20,A.J. Lawson,G,1
On/Off Court,1610612750,MIN,Minnesota Timberwolves,1630183,"McDaniels, Jaden",On,79,41,38,0.519,2416.0,112.3,113.6,110.2,111.6,2.0,2.0,0.614,1.72,19.0,0.259,0.711,0.493,0.153,0.568,0.597,102.4,101.2,84.34,5080,0.511,1,1,19,7,2,7,7,5,9,10,7,8,6,7,15,5,6,18,6,Jaden McDaniels,F,1
On/Off Court,1610612750,MIN,Minnesota Timberwolves,1629162,"McLaughlin, Jordan",On,43,22,21,0.512,678.0,111.2,111.7,105.9,105.9,5.4,5.8,0.667,1.83,19.9,0.255,0.719,0.495,0.15,0.565,0.6,106.7,106.51,88.76,1504,0.536,10,10,11,9,12,9,1,2,3,7,2,13,4,6,14,6,4,4,2,Jordan McLaughlin,G,1
