GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GROUP_ID,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,GROUP_NAME,POSITION,Player_Count
On/Off Court,1610612740,NOP,New Orleans Pelicans,1630631,"Alvarado, Jose",On,61,30,31,0.492,1310.0,111.8,112.1,107.8,108.4,4.0,3.7,0.616,1.68,18.1,0.301,0.741,0.521,0.15,0.544,0.586,102.2,101.79,84.83,2778,0.528,7,8,11,13,8,10,9,6,9,12,12,5,4,5,13,8,7,6,5,Jose Alvarado,G,1
On/Off Court,1610612740,NOP,New Orleans Pelicans,1630700,"Daniels, Dyson",On,59,33,26,0.559,1042.0,108.2,107.1,106.8,106.7,1.3,0.4,0.647,1.6,18.4,0.256,0.732,0.501,0.157,0.542,0.58,102.6,103.17,85.98,2233,0.513,8,6,9,5,9,14,4,12,4,13,7,17,9,13,16,9,9,3,8,Dyson Daniels,G,1
On/Off Court,1610612740,NOP,New Orleans Pelicans,1628984,"Graham, Devonte'",On,53,27,26,0.509,811.0,109.4,109.4,108.5,108.1,0.9,1.3,0.649,1.89,18.2,0.276,0.746,0.499,0.133,0.52,0.564,101.3,101.44,84.53,1716,0.501,9,9,9,9,11,12,8,9,3,5,10,14,3,15,3,12,12,8,14,Devonte' Graham,G,1
On/Off Court,1610612740,NOP,New Orleans Pelicans,1629637,"Hayes, Jaxson",On,47,22,25,0.468,610.0,104.4,103.4,108.9,108.8,-4.6,-5.4,0.631,1.59,16.6,0.298,0.739,0.508,0.145,0.492,0.54,101.7,102.29,85.24,1300,0.474,10,12,8,15,12,16,11,17,7,14,16,6,5,10,9,16,16,4,17,Jaxson Hayes,C-F,1
On/Off Court,1610612740,NOP,New Orleans Pelicans,1626195,"Hernangomez, Willy",On,38,23,15,0.605,458.0,109.2,108.5,107.2,106.8,2.0,1.7,0.59,1.53,16.2,0.327,0.748,0.531,0.147,0.507,0.559,103.7,104.25,86.88,995,0.513,12,10,6,2,14,13,5,8,17,16,17,2,2,2,11,14,14,2,9,Willy Hernangomez,C-F,1
On/Off Court,1610612740,NOP,New Orleans Pelicans,1627742,"Ingram, Brandon",On,45,23,22,0.511,1538.0,114.2,115.5,110.9,112.5,3.3,3.0,0.609,1.92,18.7,0.282,0.723,0.507,0.135,0.548,0.589,100.2,98.87,82.39,3169,0.521,11,10,7,8,6,4,14,7,13,4,4,12,13,11,4,7,4,17,7,Brandon Ingram,F,1
On/Off Court,1610612740,NOP,New Orleans Pelicans,1630529,"Jones, Herbert",On,66,31,35,0.47,1951.0,114.4,115.8,110.7,111.8,3.7,3.9,0.612,1.84,18.9,0.294,0.726,0.513,0.143,0.555,0.592,100.4,99.3,82.75,4031,0.526,5,7,13,14,4,3,13,5,12,7,3,8,10,6,8,2,3,16,6,Herbert Jones,F,1
On/Off Court,1610612740,NOP,New Orleans Pelicans,1630184,"Lewis Jr., Kira",On,25,11,14,0.44,235.0,113.7,115.2,103.4,104.0,10.4,11.2,0.654,2.13,19.5,0.275,0.708,0.502,0.128,0.552,0.595,102.6,101.62,84.68,500,0.569,14,16,5,16,15,5,2,2,2,2,1,16,15,12,2,3,2,7,2,Kira Lewis Jr.,G,1
On/Off Court,1610612740,NOP,New Orleans Pelicans,1630230,"Marshall, Naji",On,77,40,37,0.519,1792.0,110.7,111.2,110.3,111.4,0.3,-0.1,0.622,1.82,18.2,0.294,0.736,0.512,0.139,0.536,0.576,101.8,101.09,84.24,3779,0.504,3,1,14,7,5,11,12,13,8,8,9,7,6,8,7,11,11,10,13,Naji Marshall,F,1
On/Off Court,1610612740,NOP,New Orleans Pelicans,203468,"McCollum, CJ",On,75,38,37,0.507,2649.0,113.0,114.5,112.4,113.5,0.6,1.1,0.599,1.87,18.5,0.292,0.733,0.513,0.138,0.548,0.583,100.7,99.6,83.0,5497,0.506,4,4,14,10,1,6,16,10,16,6,6,9,8,7,6,6,8,15,12,CJ McCollum,G,1
On/Off Court,1610612740,NOP,New Orleans Pelicans,1630530,"Murphy III, Trey",On,79,39,40,0.494,2448.0,112.0,113.3,112.0,112.8,0.0,0.5,0.613,1.73,18.5,0.286,0.734,0.511,0.149,0.551,0.589,101.5,100.62,83.85,5138,0.507,1,3,17,12,2,8,15,11,11,10,5,11,7,9,12,4,5,13,10,Trey Murphy III,F,1
On/Off Court,1610612740,NOP,New Orleans Pelicans,1626204,"Nance Jr., Larry",On,65,34,31,0.523,1381.0,114.3,114.1,106.8,107.4,7.5,6.7,0.634,1.94,19.1,0.275,0.711,0.496,0.137,0.562,0.6,100.9,100.69,83.91,2893,0.543,6,5,11,6,7,7,6,4,6,3,2,15,14,16,5,1,1,12,3,Larry Nance Jr.,F-C,1
On/Off Court,1610612740,NOP,New Orleans Pelicans,1626196,"Richardson, Josh",On,23,13,10,0.565,533.0,106.0,105.7,106.0,107.6,0.0,-1.9,0.615,1.56,17.2,0.278,0.701,0.495,0.15,0.516,0.562,101.4,100.79,83.99,1117,0.507,16,15,3,4,13,15,7,15,10,15,14,13,16,17,15,13,13,11,11,Josh Richardson,G,1
On/Off Court,1610612740,NOP,New Orleans Pelicans,1631220,"Seabron, Dereon",On,5,2,3,0.4,12.0,123.3,116.0,83.0,79.2,40.3,36.8,0.7,7.0,17.9,0.467,0.684,0.588,0.04,0.458,0.527,96.0,101.38,84.48,25,0.736,17,17,1,17,17,2,1,1,1,1,13,1,17,1,1,17,17,9,1,Dereon Seabron,G,1
On/Off Court,1610612740,NOP,New Orleans Pelicans,202066,"Temple, Garrett",On,25,16,9,0.64,162.0,102.1,100.3,105.2,105.5,-3.1,-5.3,0.643,1.43,16.7,0.286,0.724,0.5,0.16,0.498,0.542,106.6,107.38,89.48,363,0.483,14,14,2,1,16,17,3,16,5,17,15,10,11,14,17,15,15,1,16,Garrett Temple,G-F,1
On/Off Court,1610612740,NOP,New Orleans Pelicans,202685,"Valanciunas, Jonas",On,79,40,39,0.506,1968.0,111.2,112.8,112.4,113.5,-1.2,-0.7,0.604,1.7,18.3,0.301,0.751,0.527,0.15,0.541,0.577,101.1,99.83,83.19,4101,0.499,1,1,16,11,3,9,17,14,14,11,8,4,1,3,14,10,10,14,15,Jonas Valanciunas,C,1
On/Off Court,1610612740,NOP,New Orleans Pelicans,1629627,"Williamson, Zion",On,29,17,12,0.586,956.0,114.3,116.2,107.3,108.4,7.0,7.8,0.6,1.75,18.2,0.319,0.724,0.522,0.146,0.549,0.588,103.5,102.17,85.14,2031,0.541,13,13,4,3,10,1,10,3,15,9,11,3,12,4,10,5,6,5,4,Zion Williamson,F,1
