GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GROUP_ID,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,GROUP_NAME,POSITION,Player_Count
On/Off Court,1610612752,NYK,New York Knicks,1627853,"Arcidiacono, Ryan",On,11,7,4,0.636,26.0,96.0,86.7,89.5,85.7,6.5,1.0,0.722,1.63,16.7,0.179,0.714,0.446,0.133,0.5,0.529,98.5,106.0,88.34,60,0.522,16,16,2,3,16,16,2,11,3,12,9,15,13,16,10,16,16,3,5,Ryan Arcidiacono,G,1
On/Off Court,1610612752,NYK,New York Knicks,1629628,"Barrett, RJ",On,73,40,33,0.548,2475.0,114.3,115.3,114.9,116.5,-0.6,-1.2,0.549,1.79,16.6,0.314,0.721,0.516,0.128,0.536,0.573,100.0,98.88,82.4,5100,0.491,4,5,14,15,2,6,15,12,11,6,10,9,12,12,5,7,8,11,12,RJ Barrett,F-G,1
On/Off Court,1610612752,NYK,New York Knicks,1628973,"Brunson, Jalen",On,68,40,28,0.588,2379.0,117.5,119.2,115.1,117.1,2.3,2.1,0.523,1.84,16.3,0.315,0.729,0.52,0.122,0.549,0.587,99.2,97.64,81.36,4860,0.504,6,5,10,7,3,3,16,10,16,3,12,8,10,10,3,5,4,15,11,Jalen Brunson,G,1
On/Off Court,1610612752,NYK,New York Knicks,203095,"Fournier, Evan",On,27,15,12,0.556,459.0,107.8,109.1,113.5,113.8,-5.6,-4.7,0.553,1.53,15.9,0.309,0.709,0.503,0.143,0.514,0.549,101.2,100.46,83.72,956,0.455,11,12,6,13,12,12,10,15,9,13,14,11,15,14,15,14,14,7,15,Evan Fournier,G-F,1
On/Off Court,1610612752,NYK,New York Knicks,1629656,"Grimes, Quentin",On,71,41,30,0.577,2121.0,117.2,118.6,112.9,114.2,4.4,4.4,0.549,1.94,16.8,0.312,0.748,0.526,0.121,0.55,0.584,99.1,97.97,81.64,4328,0.514,5,4,12,9,5,4,11,6,10,1,6,10,4,6,2,4,5,13,8,Quentin Grimes,G,1
On/Off Court,1610612752,NYK,New York Knicks,1628404,"Hart, Josh",On,25,17,8,0.68,750.0,122.2,123.1,109.7,111.2,12.5,11.9,0.537,1.73,17.2,0.332,0.748,0.543,0.138,0.588,0.619,100.4,99.35,82.79,1554,0.554,13,11,4,2,11,1,8,2,13,10,4,2,3,1,13,2,1,10,2,Josh Hart,G,1
On/Off Court,1610612752,NYK,New York Knicks,1628392,"Hartenstein, Isaiah",On,82,47,35,0.573,1628.0,114.4,114.6,110.0,110.2,4.4,4.4,0.567,1.79,16.8,0.323,0.731,0.526,0.131,0.534,0.574,100.4,100.25,83.54,3401,0.52,1,1,17,10,6,7,6,5,8,8,7,5,7,5,8,8,7,8,6,Isaiah Hartenstein,C-F,1
On/Off Court,1610612752,NYK,New York Knicks,1631211,"Keels, Trevor",On,3,3,0,1.0,8.0,50.4,42.1,146.4,136.8,-96.0,-94.7,1.0,1.5,13.6,0.0,0.875,0.368,0.105,0.308,0.288,100.4,113.43,94.53,19,0.058,17,17,1,1,17,17,17,17,1,14,17,17,1,17,1,17,17,1,17,Trevor Keels,G,1
On/Off Court,1610612752,NYK,New York Knicks,1630540,"McBride, Miles",On,64,36,28,0.563,760.0,112.6,110.9,107.1,107.3,5.5,3.6,0.601,1.86,17.0,0.34,0.735,0.533,0.129,0.53,0.56,98.8,99.5,82.92,1574,0.519,8,8,10,12,10,11,3,7,4,2,5,1,5,3,7,11,12,9,7,Miles McBride,G,1
On/Off Court,1610612752,NYK,New York Knicks,1629004,"Mykhailiuk, Svi",On,13,8,5,0.615,40.0,106.5,95.6,80.3,77.9,26.2,17.7,0.759,1.47,18.6,0.135,0.851,0.536,0.165,0.59,0.615,99.2,106.32,88.6,91,0.658,15,15,3,4,15,15,1,1,2,15,1,16,2,2,16,1,2,2,1,Svi Mykhailiuk,G-F,1
