GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GROUP_ID,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,GROUP_NAME,POSITION,Player_Count
On/Off Court,1610612760,OKC,Oklahoma City Thunder,1629647,"Bazley, Darius",On,36,16,20,0.444,555.0,107.6,106.2,106.5,107.7,1.1,-1.4,0.558,1.57,16.4,0.268,0.701,0.49,0.142,0.527,0.558,101.7,101.79,84.82,1170,0.494,14,13,7,17,14,17,7,16,14,17,16,18,4,5,16,13,15,16,13,Darius Bazley,F,1
On/Off Court,1610612760,OKC,Oklahoma City Thunder,1630215,"Butler, Jared",On,6,3,3,0.5,77.0,104.9,106.2,106.4,103.6,-1.4,2.6,0.677,1.91,19.8,0.231,0.674,0.467,0.143,0.532,0.563,101.8,102.55,85.46,161,0.506,19,19,1,4,19,18,1,9,1,9,1,19,16,19,17,9,13,13,8,Jared Butler,G,1
On/Off Court,1610612760,OKC,Oklahoma City Thunder,1631172,"Dieng, Ousmane",On,39,20,19,0.513,569.0,110.2,110.3,107.0,107.4,3.2,2.9,0.592,2.0,17.4,0.302,0.675,0.485,0.122,0.518,0.551,102.9,102.67,85.56,1218,0.503,13,10,6,3,13,14,6,7,3,5,7,4,15,11,8,17,17,12,9,Ousmane Dieng,F,1
On/Off Court,1610612760,OKC,Oklahoma City Thunder,1629652,"Dort, Luguentz",On,73,35,38,0.479,2242.0,113.6,115.2,112.8,114.1,0.8,1.1,0.552,1.92,16.9,0.293,0.69,0.488,0.121,0.532,0.573,104.2,102.91,85.76,4800,0.499,3,2,17,8,4,6,17,10,16,7,12,7,10,9,6,10,8,10,10,Luguentz Dort,G,1
On/Off Court,1610612760,OKC,Oklahoma City Thunder,1630581,"Giddey, Josh",On,76,34,42,0.447,2367.0,110.4,111.8,113.2,114.0,-2.8,-2.2,0.576,1.84,17.5,0.289,0.702,0.489,0.131,0.527,0.563,104.2,103.17,85.97,5090,0.48,1,5,19,16,2,10,16,17,8,14,4,12,3,6,15,12,12,9,17,Josh Giddey,G,1
On/Off Court,1610612760,OKC,Oklahoma City Thunder,1628983,"Gilgeous-Alexander, Shai",On,68,33,35,0.485,2416.0,114.9,116.1,111.9,113.3,3.0,2.7,0.543,1.88,16.7,0.297,0.684,0.488,0.121,0.535,0.581,104.6,103.47,86.23,5211,0.509,6,6,14,6,1,3,14,8,18,11,14,5,12,10,7,4,4,4,6,Shai Gilgeous-Alexander,G,1
On/Off Court,1610612760,OKC,Oklahoma City Thunder,1630198,"Joe, Isaiah",On,72,35,37,0.486,1369.0,117.2,117.5,112.9,112.1,4.3,5.3,0.552,1.92,16.6,0.29,0.673,0.475,0.117,0.55,0.597,103.2,103.38,86.15,2974,0.521,4,2,16,5,5,1,12,5,17,8,15,11,17,17,3,2,2,6,5,Isaiah Joe,G,1
On/Off Court,1610612760,OKC,Oklahoma City Thunder,1630544,"Mann, Tre",On,66,30,36,0.455,1165.0,108.7,109.2,108.7,108.7,0.1,0.5,0.554,1.72,16.4,0.282,0.677,0.473,0.13,0.523,0.556,103.0,102.8,85.67,2510,0.488,7,7,15,12,8,16,8,12,15,16,17,14,14,18,13,14,16,11,15,Tre Mann,G,1
On/Off Court,1610612760,OKC,Oklahoma City Thunder,203488,"Muscala, Mike",On,42,19,23,0.452,611.0,117.5,116.6,107.8,106.7,9.6,9.8,0.571,2.1,17.4,0.278,0.68,0.484,0.112,0.555,0.599,105.8,106.74,88.95,1369,0.553,11,11,9,14,12,2,5,2,10,1,8,15,13,12,1,1,1,1,1,Mike Muscala,F-C,1
On/Off Court,1610612760,OKC,Oklahoma City Thunder,1630647,"Omoruyi, Eugene",On,22,8,14,0.364,256.0,108.5,110.0,110.3,111.0,-1.8,-1.0,0.514,1.3,15.0,0.295,0.672,0.481,0.155,0.522,0.566,100.6,99.56,82.96,528,0.484,16,17,4,19,17,15,10,15,19,19,19,6,18,14,19,15,11,19,16,Eugene Omoruyi,F,1
