GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GROUP_ID,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,GROUP_NAME,POSITION,Player_Count
On/Off Court,1610612753,ORL,Orlando Magic,1630175,"Anthony, Cole",On,60,28,32,0.467,1552.0,111.4,112.4,111.5,112.5,-0.1,-0.1,0.576,1.69,17.0,0.296,0.723,0.511,0.139,0.531,0.575,100.9,99.91,83.26,3220,0.5,4,4,16,5,5,3,10,5,11,3,7,9,14,6,4,10,7,15,4,Cole Anthony,G,1
On/Off Court,1610612753,ORL,Orlando Magic,1628964,"Bamba, Mo",On,40,18,22,0.45,681.0,114.3,114.6,111.5,112.4,2.8,2.3,0.555,1.68,17.1,0.279,0.707,0.504,0.138,0.559,0.593,99.3,98.76,82.3,1394,0.504,12,11,7,8,12,1,9,2,19,4,6,13,17,14,3,1,1,18,3,Mo Bamba,C,1
On/Off Court,1610612753,ORL,Orlando Magic,1631094,"Banchero, Paolo",On,72,31,41,0.431,2430.0,109.5,111.1,113.8,115.3,-4.4,-4.2,0.572,1.55,17.0,0.268,0.73,0.497,0.149,0.537,0.578,102.0,100.66,83.89,5095,0.478,2,2,18,9,2,5,16,12,12,9,8,17,9,17,10,6,5,8,12,Paolo Banchero,F,1
On/Off Court,1610612753,ORL,Orlando Magic,1629048,"Bitadze, Goga",On,17,5,12,0.294,255.0,105.6,107.7,105.5,104.8,0.0,2.9,0.548,1.55,16.1,0.359,0.757,0.554,0.148,0.506,0.536,99.2,98.6,82.16,521,0.514,17,18,4,18,17,13,1,1,20,10,14,2,1,1,9,17,18,19,1,Goga Bitadze,C-F,1
On/Off Court,1610612753,ORL,Orlando Magic,1629626,"Bol, Bol",On,70,26,44,0.371,1505.0,106.4,107.6,110.6,112.0,-4.2,-4.4,0.555,1.36,16.2,0.289,0.736,0.513,0.162,0.524,0.566,102.2,100.95,84.12,3163,0.479,3,6,19,15,6,15,8,13,18,16,12,12,6,3,16,12,13,6,9,Bol Bol,C-F,1
On/Off Court,1610612753,ORL,Orlando Magic,1628976,"Carter Jr., Wendell",On,57,26,31,0.456,1690.0,109.2,110.5,110.3,111.4,-1.1,-0.8,0.581,1.51,17.3,0.27,0.745,0.513,0.156,0.543,0.581,101.3,100.17,83.48,3521,0.497,6,6,13,7,4,7,7,6,7,12,2,15,4,4,12,3,3,13,5,Wendell Carter Jr.,C-F,1
On/Off Court,1610612753,ORL,Orlando Magic,203487,"Carter-Williams, Michael",On,4,1,3,0.25,44.0,98.7,95.7,129.0,128.1,-30.3,-32.4,0.613,1.06,14.7,0.375,0.688,0.5,0.196,0.487,0.511,95.8,97.65,81.38,92,0.338,19,19,2,20,19,20,20,20,1,19,20,1,20,15,19,19,19,20,20,Michael Carter-Williams,G,1
On/Off Court,1610612753,ORL,Orlando Magic,1628365,"Fultz, Markelle",On,60,29,31,0.483,1778.0,109.2,110.3,112.9,114.0,-3.7,-3.7,0.579,1.61,17.3,0.27,0.734,0.498,0.146,0.532,0.571,102.3,101.23,84.36,3753,0.478,4,3,13,3,3,8,15,11,8,7,4,14,8,16,8,8,10,4,11,Markelle Fultz,G,1
On/Off Court,1610612753,ORL,Orlando Magic,1630181,"Hampton, R.J.",On,26,7,19,0.269,361.0,108.7,107.9,111.3,113.3,-2.5,-5.4,0.559,1.28,15.6,0.305,0.708,0.509,0.165,0.532,0.574,101.0,100.45,83.71,757,0.472,16,17,5,19,16,12,14,15,16,18,18,7,16,10,17,9,8,10,14,R.J. Hampton,G,1
On/Off Court,1610612753,ORL,Orlando Magic,203914,"Harris, Gary",On,48,22,26,0.458,1184.0,111.9,113.0,115.1,115.8,-3.2,-2.8,0.581,1.73,17.7,0.256,0.728,0.488,0.139,0.551,0.587,101.3,100.45,83.71,2472,0.477,10,8,10,6,8,2,17,10,6,1,1,19,10,18,6,2,2,11,13,Gary Harris,G,1
