GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GROUP_ID,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,GROUP_NAME,POSITION,Player_Count
On/Off Court,1610612756,PHX,Phoenix Suns,1629028,"Ayton, Deandre",On,67,36,31,0.537,2035.0,111.5,113.2,112.2,113.2,-0.6,0.0,0.645,2.08,19.6,0.281,0.713,0.494,0.133,0.538,0.571,99.8,98.63,82.19,4178,0.504,5,4,16,13,2,9,14,14,15,10,5,15,12,18,11,7,8,18,14,Deandre Ayton,C,1
On/Off Court,1610612756,PHX,Phoenix Suns,1629647,"Bazley, Darius",On,7,3,4,0.429,61.0,98.1,99.2,124.9,122.4,-26.8,-23.2,0.667,1.88,18.3,0.221,0.61,0.402,0.133,0.487,0.51,102.8,103.28,86.07,128,0.357,20,20,2,20,20,20,20,20,4,15,16,20,20,20,10,19,20,2,20,Darius Bazley,F,1
On/Off Court,1610612756,PHX,Phoenix Suns,202687,"Biyombo, Bismack",On,61,33,28,0.541,874.0,111.3,112.7,107.9,109.7,3.4,3.1,0.655,2.11,18.8,0.332,0.692,0.509,0.129,0.524,0.555,100.8,99.31,82.76,1805,0.523,6,7,15,11,11,12,11,9,5,6,12,6,19,10,6,14,16,15,8,Bismack Biyombo,C,1
On/Off Court,1610612756,PHX,Phoenix Suns,1626164,"Booker, Devin",On,53,34,19,0.642,1835.0,117.6,119.6,111.9,113.4,5.7,6.2,0.622,2.2,19.6,0.306,0.702,0.506,0.126,0.562,0.596,100.7,99.18,82.65,3797,0.535,10,6,8,3,5,1,15,5,19,5,7,11,17,13,5,2,3,16,4,Devin Booker,G,1
On/Off Court,1610612756,PHX,Phoenix Suns,1628969,"Bridges, Mikal",On,56,30,26,0.536,2040.0,113.2,114.8,111.5,113.5,1.7,1.3,0.655,2.09,19.7,0.285,0.713,0.499,0.133,0.544,0.579,100.4,98.83,82.36,4196,0.51,9,10,12,14,1,7,16,13,7,9,4,14,11,15,12,5,4,17,12,Mikal Bridges,G-F,1
On/Off Court,1610612756,PHX,Phoenix Suns,1628470,"Craig, Torrey",On,79,44,35,0.557,1948.0,111.3,111.9,114.2,115.5,-2.9,-3.7,0.646,2.04,19.1,0.3,0.706,0.499,0.133,0.529,0.565,100.4,99.62,83.01,4030,0.488,1,1,20,8,3,14,18,17,12,11,10,12,16,14,9,12,11,13,17,Torrey Craig,F,1
On/Off Court,1610612756,PHX,Phoenix Suns,201142,"Durant, Kevin",On,8,8,0,1.0,269.0,118.3,117.7,104.6,107.0,13.7,10.7,0.646,2.1,19.9,0.26,0.741,0.519,0.132,0.579,0.618,98.7,97.79,81.49,553,0.585,19,19,1,1,18,2,6,3,14,8,2,18,4,7,8,1,1,19,1,Kevin Durant,F,1
On/Off Court,1610612756,PHX,Phoenix Suns,1629661,"Johnson, Cameron",On,17,13,4,0.765,429.0,116.0,115.8,102.8,104.7,13.1,11.1,0.7,2.38,20.8,0.252,0.71,0.496,0.123,0.56,0.599,101.6,100.76,83.97,900,0.568,17,16,2,2,14,3,2,2,2,3,1,19,14,16,3,3,2,11,3,Cameron Johnson,F,1
On/Off Court,1610612756,PHX,Phoenix Suns,1629111,"Landale, Jock",On,69,35,34,0.507,978.0,111.8,113.0,106.1,105.1,5.7,7.9,0.65,1.78,18.6,0.346,0.741,0.537,0.15,0.531,0.569,102.1,102.03,85.03,2069,0.529,4,5,17,17,8,10,3,4,9,16,14,3,5,2,16,11,10,5,6,Jock Landale,C,1
On/Off Court,1610612756,PHX,Phoenix Suns,1627814,"Lee, Damion",On,74,40,34,0.541,1506.0,108.7,110.1,107.7,107.3,1.0,2.7,0.646,1.68,18.2,0.34,0.727,0.527,0.154,0.523,0.558,101.6,101.13,84.27,3170,0.509,2,2,17,12,6,16,7,10,13,18,17,5,7,5,18,15,15,8,13,Damion Lee,G-F,1
