GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GROUP_ID,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,GROUP_NAME,POSITION,Player_Count
On/Off Court,1610612757,POR,Portland Trail Blazers,1627853,"Arcidiacono, Ryan",On,9,2,7,0.222,146.0,95.6,94.4,109.5,109.5,-13.9,-15.1,0.606,1.4,15.8,0.2,0.741,0.447,0.147,0.474,0.51,103.8,104.48,87.07,320,0.396,19,19,7,17,19,23,2,19,13,22,23,24,3,19,18,22,22,8,22,Ryan Arcidiacono,G,1
On/Off Court,1610612757,POR,Portland Trail Blazers,1630535,"Brown III, Greg",On,16,10,6,0.625,93.0,89.8,89.2,94.7,92.6,-5.0,-3.4,0.561,1.06,13.9,0.248,0.794,0.51,0.172,0.459,0.493,103.2,104.67,87.23,204,0.49,17,13,6,1,22,24,1,9,23,24,24,17,1,1,24,24,24,7,6,Greg Brown III,F,1
On/Off Court,1610612757,POR,Portland Trail Blazers,1631219,"Butler Jr., John",On,19,4,15,0.211,221.0,101.9,100.6,116.8,116.7,-14.9,-16.1,0.62,2.0,17.5,0.213,0.707,0.439,0.117,0.51,0.533,104.2,104.97,87.47,487,0.406,16,17,10,18,17,21,10,20,8,6,12,22,12,23,3,19,21,4,19,John Butler Jr.,F,1
On/Off Court,1610612757,POR,Portland Trail Blazers,1628435,"Comanche, Chance",On,1,0,1,0.0,21.0,98.4,95.6,167.1,163.6,-68.8,-68.1,0.667,2.5,16.7,0.24,0.6,0.375,0.089,0.459,0.503,100.2,102.77,85.65,45,0.254,24,23,1,23,24,22,24,24,3,2,19,18,24,24,1,23,23,10,24,Chance Comanche,C,1
On/Off Court,1610612757,POR,Portland Trail Blazers,1629234,"Eubanks, Drew",On,78,31,47,0.397,1584.0,113.0,113.0,116.1,117.1,-3.1,-4.1,0.581,1.66,17.1,0.278,0.693,0.485,0.14,0.548,0.588,100.8,100.32,83.6,3312,0.479,2,2,23,12,6,7,11,10,19,15,15,6,17,12,11,9,8,16,10,Drew Eubanks,F-C,1
On/Off Court,1610612757,POR,Portland Trail Blazers,203924,"Grant, Jerami",On,63,28,35,0.444,2246.0,114.9,116.1,115.6,117.3,-0.7,-1.2,0.61,1.76,18.2,0.255,0.716,0.489,0.141,0.563,0.606,100.3,99.08,82.56,4643,0.495,3,3,19,7,1,4,12,6,12,12,7,15,7,7,14,4,4,21,5,Jerami Grant,F,1
On/Off Court,1610612757,POR,Portland Trail Blazers,1627885,"Harrison, Shaquille",On,5,1,4,0.2,120.0,112.5,113.0,113.2,113.4,-0.7,-0.4,0.699,2.14,21.0,0.281,0.675,0.467,0.141,0.562,0.58,105.2,104.87,87.39,262,0.485,21,20,2,19,21,8,4,5,1,4,1,4,22,15,13,5,11,5,9,Shaquille Harrison,G,1
On/Off Court,1610612757,POR,Portland Trail Blazers,1628404,"Hart, Josh",On,51,25,26,0.49,1704.0,116.6,117.8,113.0,114.5,3.6,3.3,0.619,1.8,18.7,0.271,0.718,0.499,0.143,0.569,0.609,100.1,99.02,82.52,3520,0.513,10,7,14,4,5,3,7,2,9,9,5,8,5,4,15,3,3,22,2,Josh Hart,G,1
On/Off Court,1610612757,POR,Portland Trail Blazers,1630553,"Johnson, Keon",On,40,13,27,0.325,416.0,103.6,103.2,120.4,119.3,-16.8,-16.2,0.588,1.28,16.0,0.302,0.695,0.486,0.17,0.513,0.552,102.1,102.72,85.6,887,0.405,11,12,15,14,14,20,16,21,15,23,21,2,16,10,23,18,17,11,20,Keon Johnson,G,1
On/Off Court,1610612757,POR,Portland Trail Blazers,1628995,"Knox II, Kevin",On,21,4,17,0.19,359.0,102.9,103.2,122.8,121.9,-19.9,-18.7,0.613,1.8,17.4,0.237,0.71,0.447,0.131,0.504,0.536,104.6,104.81,87.35,786,0.384,14,17,13,21,15,19,22,23,10,10,13,19,10,20,8,21,20,6,23,Kevin Knox II,F,1
On/Off Court,1610612757,POR,Portland Trail Blazers,203081,"Lillard, Damian",On,58,27,31,0.466,2107.0,117.8,119.5,115.9,117.4,2.0,2.1,0.599,1.8,18.1,0.266,0.714,0.494,0.138,0.571,0.616,101.1,99.78,83.15,4385,0.506,6,4,17,5,3,2,13,3,14,11,8,11,8,5,9,2,2,17,3,Damian Lillard,G,1
On/Off Court,1610612757,POR,Portland Trail Blazers,1629642,"Little, Nassir",On,54,22,32,0.407,976.0,111.1,111.1,119.6,119.9,-8.6,-8.8,0.582,1.58,17.0,0.284,0.691,0.486,0.146,0.54,0.583,99.7,99.56,82.97,2019,0.449,8,9,18,10,9,9,18,14,18,17,17,3,18,9,16,13,10,19,14,Nassir Little,F-G,1
