GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GROUP_ID,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,GROUP_NAME,POSITION,Player_Count
On/Off Court,1610612758,SAC,Sacramento Kings,203084,"Barnes, Harrison",On,82,48,34,0.585,2662.0,119.3,120.0,114.5,115.2,4.7,4.8,0.61,2.13,18.9,0.262,0.741,0.503,0.122,0.573,0.614,102.3,101.7,84.75,5634,0.52,1,1,20,11,2,4,13,4,18,6,9,11,5,5,1,7,4,16,4,Harrison Barnes,F,1
On/Off Court,1610612758,SAC,Sacramento Kings,1629126,"Burton, Deonte",On,2,1,1,0.5,6.0,150.1,164.3,122.0,112.5,28.2,51.8,0.875,3.5,31.8,0.2,0.5,0.364,0.143,0.875,0.863,111.1,110.8,92.33,14,0.568,19,18,1,17,20,1,10,1,1,1,1,20,20,20,11,1,1,2,1,Deonte Burton,G-F,1
On/Off Court,1610612758,SAC,Sacramento Kings,1629056,"Davis, Terence",On,64,38,26,0.594,841.0,115.9,115.4,112.2,111.4,3.7,4.0,0.627,1.94,19.1,0.263,0.737,0.5,0.136,0.572,0.605,103.6,104.19,86.83,1814,0.511,10,10,12,6,9,9,6,7,12,10,7,9,6,9,8,8,9,8,9,Terence Davis,G,1
On/Off Court,1610612758,SAC,Sacramento Kings,203521,"Dellavedova, Matthew",On,32,19,13,0.594,213.0,102.4,98.3,108.2,107.1,-5.8,-8.8,0.701,1.39,18.2,0.226,0.674,0.456,0.177,0.534,0.569,104.1,106.81,89.0,469,0.462,13,12,8,6,14,16,4,15,3,16,13,17,17,16,19,14,15,5,15,Matthew Dellavedova,G,1
On/Off Court,1610612758,SAC,Sacramento Kings,1628408,"Dozier, PJ",On,16,11,5,0.688,79.0,98.9,94.1,107.9,107.0,-9.0,-12.9,0.639,1.56,17.3,0.22,0.671,0.437,0.147,0.511,0.527,100.2,103.14,85.95,170,0.435,16,16,4,1,16,18,3,17,9,14,16,18,18,18,13,18,18,10,17,PJ Dozier,G-F,1
On/Off Court,1610612758,SAC,Sacramento Kings,1630556,"Edwards, Kessler",On,22,12,10,0.545,306.0,120.2,118.4,114.7,115.9,5.5,2.5,0.646,2.01,19.3,0.329,0.69,0.507,0.137,0.585,0.609,101.5,101.72,84.77,643,0.5,15,15,6,14,12,7,14,11,7,9,6,1,16,4,9,2,7,15,14,Kessler Edwards,F,1
On/Off Court,1610612758,SAC,Sacramento Kings,1631165,"Ellis, Keon",On,16,7,9,0.438,71.0,100.6,98.0,112.3,112.2,-11.7,-14.3,0.667,1.55,17.4,0.211,0.651,0.418,0.15,0.517,0.549,98.3,99.57,82.98,147,0.409,16,17,5,19,17,17,8,18,5,15,15,19,19,19,14,17,17,20,18,Keon Ellis,G,1
On/Off Court,1610612758,SAC,Sacramento Kings,1628368,"Fox, De'Aaron",On,73,44,29,0.603,2435.0,119.5,119.9,116.5,116.8,3.1,3.1,0.583,2.06,18.4,0.282,0.734,0.508,0.123,0.576,0.613,103.4,103.08,85.9,5235,0.512,8,6,13,4,3,5,17,9,19,7,12,4,7,2,2,6,5,11,8,De'Aaron Fox,G,1
On/Off Court,1610612758,SAC,Sacramento Kings,1626158,"Holmes, Richaun",On,42,22,20,0.524,348.0,105.3,104.2,115.4,113.5,-10.1,-9.3,0.615,1.38,17.0,0.27,0.708,0.486,0.167,0.528,0.567,101.1,102.47,85.39,742,0.436,11,11,10,16,11,15,12,16,15,17,17,6,12,15,18,16,16,13,16,Richaun Holmes,F,1
On/Off Court,1610612758,SAC,Sacramento Kings,1628989,"Huerter, Kevin",On,75,44,31,0.587,2203.0,119.4,121.0,115.9,116.6,3.5,4.5,0.627,2.17,19.8,0.263,0.751,0.507,0.127,0.585,0.619,101.4,100.39,83.66,4614,0.516,6,6,15,10,5,2,15,5,11,3,5,8,2,3,5,3,2,19,6,Kevin Huerter,G-F,1
