GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GROUP_ID,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,GROUP_NAME,POSITION,Player_Count
On/Off Court,1610612759,SAS,San Antonio Spurs,1631230,"Barlow, Dominick",On,28,5,23,0.179,408.0,104.7,105.2,117.2,115.9,-12.4,-10.7,0.633,1.57,17.6,0.325,0.728,0.519,0.159,0.506,0.538,104.8,105.11,87.59,887,0.44,17,16,7,20,18,18,7,15,13,19,17,5,5,3,18,19,17,2,17,Dominick Barlow,F,1
On/Off Court,1610612759,SAS,San Antonio Spurs,1629646,"Bassey, Charles",On,35,9,26,0.257,508.0,108.6,109.1,111.8,111.5,-3.2,-2.4,0.574,1.47,17.1,0.335,0.724,0.524,0.162,0.534,0.563,103.4,103.25,86.05,1090,0.478,14,12,9,13,14,10,4,3,22,22,21,2,8,2,22,5,5,15,3,Charles Bassey,C-F,1
On/Off Court,1610612759,SAS,San Antonio Spurs,1628966,"Bates-Diop, Keita",On,67,18,49,0.269,1453.0,107.5,108.1,116.2,116.6,-8.7,-8.5,0.643,1.93,18.8,0.28,0.732,0.494,0.136,0.522,0.555,103.7,103.18,85.98,3122,0.459,2,4,22,10,5,14,9,9,7,3,8,20,4,13,3,14,10,16,9,Keita Bates-Diop,F,1
On/Off Court,1610612759,SAS,San Antonio Spurs,1631103,"Branham, Malaki",On,66,15,51,0.227,1550.0,107.8,108.3,119.2,119.4,-11.4,-11.1,0.614,1.83,18.4,0.283,0.705,0.489,0.139,0.532,0.561,104.6,104.36,86.96,3374,0.45,3,6,23,17,3,13,19,16,18,5,14,19,16,17,5,7,6,6,14,Malaki Branham,F,1
On/Off Court,1610612759,SAS,San Antonio Spurs,1630577,"Champagnie, Julian",On,15,5,10,0.333,313.0,106.3,107.9,118.0,118.2,-11.7,-10.4,0.653,1.81,19.0,0.311,0.734,0.516,0.15,0.523,0.547,105.8,104.97,87.47,686,0.453,20,16,4,2,20,15,14,13,5,7,5,8,3,5,11,13,16,3,11,Julian Champagnie,F,1
On/Off Court,1610612759,SAS,San Antonio Spurs,1628380,"Collins, Zach",On,63,20,43,0.317,1441.0,107.1,108.7,116.0,116.3,-8.9,-7.5,0.652,1.77,19.1,0.286,0.69,0.487,0.152,0.536,0.566,105.0,104.06,86.71,3121,0.463,5,1,18,4,6,11,8,7,6,11,3,17,21,20,13,4,4,8,8,Zach Collins,F-C,1
On/Off Court,1610612759,SAS,San Antonio Spurs,203476,"Dieng, Gorgui",On,31,3,28,0.097,358.0,99.0,99.6,120.1,118.2,-21.1,-18.6,0.604,1.62,16.4,0.268,0.725,0.478,0.139,0.482,0.507,102.6,103.07,85.89,765,0.392,15,20,11,23,19,22,13,23,19,15,23,22,7,22,4,22,23,17,23,Gorgui Dieng,C,1
On/Off Court,1610612759,SAS,San Antonio Spurs,1628984,"Graham, Devonte'",On,20,4,16,0.2,527.0,102.8,104.6,122.5,122.1,-19.7,-17.6,0.635,1.61,17.5,0.307,0.724,0.497,0.152,0.503,0.534,104.0,103.31,86.09,1141,0.405,18,19,6,19,13,19,22,22,11,17,19,11,9,11,14,21,21,14,22,Devonte' Graham,G,1
On/Off Court,1610612759,SAS,San Antonio Spurs,1631160,"Hall, Jordan",On,9,1,8,0.111,83.0,94.8,94.9,108.6,108.0,-13.8,-13.1,0.695,1.32,17.2,0.267,0.771,0.488,0.177,0.466,0.509,101.6,101.91,84.93,175,0.431,21,22,3,22,22,23,2,20,1,23,20,23,1,19,23,23,22,21,20,Jordan Hall,G,1
On/Off Court,1610612759,SAS,San Antonio Spurs,1628993,"Johnson, Alize",On,4,1,3,0.25,30.0,111.6,111.1,91.3,92.1,20.3,19.0,0.556,1.5,16.5,0.438,0.737,0.6,0.159,0.509,0.549,102.6,102.45,85.38,63,0.683,22,22,2,14,23,3,1,1,23,21,22,1,2,1,17,16,14,19,1,Alize Johnson,F,1
