GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GROUP_ID,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,GROUP_NAME,POSITION,Player_Count
On/Off Court,1610612761,TOR,Toronto Raptors,1630173,"Achiuwa, Precious",On,55,30,25,0.545,1141.0,113.0,114.0,114.4,115.6,-1.4,-1.6,0.558,1.97,16.9,0.329,0.707,0.507,0.121,0.527,0.559,99.0,98.04,81.7,2330,0.482,8,7,12,9,7,9,19,13,10,10,9,9,16,8,12,5,8,16,13,Precious Achiuwa,F,1
On/Off Court,1610612761,TOR,Toronto Raptors,1628384,"Anunoby, O.G.",On,67,33,34,0.493,2386.0,112.4,114.4,110.7,111.4,1.6,3.0,0.592,2.04,17.7,0.315,0.729,0.505,0.123,0.521,0.558,99.5,98.34,81.95,4881,0.501,5,5,15,16,4,7,8,6,3,8,5,13,9,9,14,9,9,13,8,O.G. Anunoby,F,1
On/Off Court,1610612761,TOR,Toronto Raptors,1630625,"Banton, Dalano",On,31,17,14,0.548,279.0,104.4,104.4,110.8,110.9,-6.3,-6.5,0.575,1.54,16.2,0.354,0.71,0.518,0.148,0.493,0.528,101.2,101.15,84.3,589,0.456,12,12,9,7,13,18,7,19,7,19,13,2,14,5,20,16,18,2,16,Dalano Banton,F,1
On/Off Court,1610612761,TOR,Toronto Raptors,1630567,"Barnes, Scottie",On,77,38,39,0.494,2678.0,113.8,114.8,111.3,111.6,2.5,3.2,0.577,2.18,17.7,0.311,0.714,0.498,0.114,0.527,0.563,99.3,98.71,82.25,5506,0.508,1,2,20,13,1,6,9,5,6,6,6,15,13,14,8,4,6,10,5,Scottie Barnes,F,1
On/Off Court,1610612761,TOR,Toronto Raptors,203115,"Barton, Will",On,16,9,7,0.563,211.0,102.2,102.5,109.3,109.6,-7.2,-7.1,0.529,1.9,15.3,0.289,0.772,0.503,0.111,0.477,0.506,99.2,98.87,82.39,433,0.433,16,15,5,6,15,19,6,20,16,13,19,18,3,10,4,19,19,9,20,Will Barton,G,1
On/Off Court,1610612761,TOR,Toronto Raptors,203920,"Birch, Khem",On,20,9,11,0.45,162.0,110.9,110.6,107.4,107.8,3.5,2.8,0.595,1.81,17.4,0.269,0.708,0.48,0.131,0.53,0.577,98.1,98.02,81.68,329,0.525,15,15,7,19,16,13,4,7,2,15,8,19,15,18,17,3,2,18,4,Khem Birch,C,1
On/Off Court,1610612761,TOR,Toronto Raptors,1628449,"Boucher, Chris",On,76,39,37,0.513,1523.0,109.3,110.4,110.8,111.6,-1.5,-1.3,0.526,1.83,15.4,0.333,0.718,0.508,0.117,0.497,0.539,99.3,98.49,82.08,3136,0.485,2,1,19,10,6,14,10,12,18,14,18,7,11,7,10,15,15,11,11,Chris Boucher,F-C,1
On/Off Court,1610612761,TOR,Toronto Raptors,1630551,"Champagnie, Justin",On,3,2,1,0.667,11.0,125.8,119.0,130.1,122.7,-4.3,-3.7,0.455,5.0,17.9,0.2,0.857,0.471,0.048,0.6,0.599,89.3,94.53,78.78,21,0.451,20,20,1,2,20,2,20,16,20,1,3,20,1,19,1,1,1,20,18,Justin Champagnie,G-F,1
On/Off Court,1610612761,TOR,Toronto Raptors,1630288,"Dowtin Jr., Jeff",On,25,17,8,0.68,259.0,111.3,112.7,112.7,113.3,-1.4,-0.6,0.553,1.98,16.9,0.345,0.677,0.503,0.121,0.521,0.548,97.8,96.95,80.79,520,0.49,14,12,6,1,14,10,13,11,13,9,10,3,19,11,13,10,10,19,10,Jeff Dowtin Jr.,G,1
On/Off Court,1610612761,TOR,Toronto Raptors,1630201,"Flynn, Malachi",On,53,29,24,0.547,691.0,110.3,109.9,113.3,113.4,-3.1,-3.5,0.538,1.97,15.5,0.316,0.699,0.488,0.109,0.492,0.537,98.9,99.05,82.54,1430,0.473,10,8,11,8,11,15,14,15,14,11,17,12,18,17,3,17,17,8,15,Malachi Flynn,G,1
