GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GROUP_ID,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,GROUP_NAME,POSITION,Player_Count
On/Off Court,1610612762,UTA,Utah Jazz,1630534,"Agbaji, Ochai",On,59,29,30,0.492,1209.0,113.4,114.4,113.8,114.6,-0.4,-0.2,0.611,1.71,18.4,0.311,0.727,0.527,0.151,0.55,0.584,104.2,103.39,86.16,2598,0.506,6,5,18,8,9,8,11,11,10,9,7,10,6,5,15,10,10,11,9,Ochai Agbaji,G,1
On/Off Court,1610612762,UTA,Utah Jazz,1629638,"Alexander-Walker, Nickeil",On,36,18,18,0.5,528.0,109.6,109.9,110.8,110.7,-1.2,-0.8,0.533,1.41,16.2,0.278,0.704,0.492,0.154,0.55,0.579,102.1,101.98,84.99,1118,0.485,13,13,10,5,14,14,5,12,22,22,21,21,15,19,18,11,11,14,13,Nickeil Alexander-Walker,G,1
On/Off Court,1610612762,UTA,Utah Jazz,1628962,"Azubuike, Udoka",On,36,17,19,0.472,359.0,104.1,103.2,113.4,114.9,-9.3,-11.7,0.609,1.57,17.8,0.257,0.702,0.484,0.154,0.522,0.553,105.2,104.96,87.47,788,0.467,13,14,11,13,15,19,12,20,12,19,11,22,17,21,17,15,15,6,17,Udoka Azubuike,C-F,1
On/Off Court,1610612762,UTA,Utah Jazz,1627736,"Beasley, Malik",On,55,27,28,0.491,1472.0,112.5,113.9,115.3,116.1,-2.9,-2.2,0.584,1.59,17.3,0.299,0.699,0.497,0.15,0.552,0.587,102.7,101.74,84.78,3120,0.482,8,8,17,9,5,9,17,15,18,16,16,15,18,17,14,8,8,15,15,Malik Beasley,G,1
On/Off Court,1610612762,UTA,Utah Jazz,1630195,"Bolmaro, Leandro",On,14,8,6,0.571,68.0,101.2,98.7,100.4,98.0,0.8,0.7,0.508,1.63,15.1,0.316,0.693,0.5,0.128,0.475,0.499,101.5,104.1,86.75,149,0.524,19,15,5,1,20,21,2,7,23,14,23,8,21,14,3,19,21,9,2,Leandro Bolmaro,F,1
On/Off Court,1610612762,UTA,Utah Jazz,1629714,"Brantley, Jarrell",On,4,0,4,0.0,39.0,107.8,111.1,96.1,94.9,11.8,16.2,0.656,3.0,17.5,0.38,0.722,0.558,0.086,0.463,0.503,99.5,98.59,82.16,81,0.588,22,22,3,22,22,13,1,1,3,1,13,1,7,2,2,21,20,22,1,Jarrell Brantley,F,1
On/Off Court,1610612762,UTA,Utah Jazz,203903,"Clarkson, Jordan",On,61,30,31,0.492,1988.0,115.0,117.4,115.4,116.6,-0.4,0.8,0.613,1.67,18.3,0.318,0.696,0.511,0.154,0.56,0.598,102.1,100.54,83.78,4165,0.505,5,3,19,7,2,2,19,6,9,11,8,7,19,10,19,3,3,20,10,Jordan Clarkson,G,1
On/Off Court,1610612762,UTA,Utah Jazz,201144,"Conley, Mike",On,43,22,21,0.512,1275.0,116.8,118.5,116.4,117.4,0.4,1.1,0.654,1.97,19.2,0.322,0.703,0.507,0.139,0.556,0.594,101.3,100.12,83.44,2660,0.501,12,12,12,4,7,1,20,5,4,2,4,6,16,11,7,5,6,21,11,Mike Conley,G,1
On/Off Court,1610612762,UTA,Utah Jazz,1627739,"Dunn, Kris",On,22,8,14,0.364,568.0,109.7,111.6,114.9,115.9,-5.2,-4.3,0.61,1.82,18.2,0.279,0.717,0.5,0.138,0.532,0.571,106.6,105.21,87.68,1240,0.479,15,15,8,17,13,11,15,17,11,4,9,19,10,15,6,14,14,4,16,Kris Dunn,G,1
On/Off Court,1610612762,UTA,Utah Jazz,1631323,"Fontecchio, Simone",On,52,25,27,0.481,766.0,105.7,105.2,117.8,118.3,-12.1,-13.1,0.602,1.49,16.9,0.298,0.711,0.496,0.156,0.51,0.548,104.9,104.96,87.46,1681,0.439,9,9,14,11,12,18,21,21,14,20,19,16,12,18,21,18,17,7,21,Simone Fontecchio,F,1
